storeId,name,location,review count,average rating,phone,workHours,category
0,burger brothers,Zaimi 8 Patra 262 21,44.0,4.1,261 600 8002 +30 261 600 8002,Deftera: [1:00 p.m.-4:00 a.m.] Triti: [1:00 p.m.-4:00 a.m.] Tetarti: [1:00 p.m.-4:00 a.m.] Pempti: [1:00 p.m.-4:00 a.m.] Paraskefi: [1:00 p.m.-4:00 a.m.] Savvato: [1:00 p.m.-4:00 a.m.] Kyriaki: [1:00 p.m.-4:00 a.m.],burger
1,Le Coq,PEO Patras Pyrgou 213 Mourta 265 00,748.0,4.1,261 052 8777 +30 261 052 8777,Deftera: [11:30 a.m.-12:00 a.m.] Triti: [11:30 a.m.-12:00 a.m.] Tetarti: [11:30 a.m.-12:00 a.m.] Pempti: [11:30 a.m.-12:00 a.m.] Paraskefi: [11:30 a.m.-12:00 a.m.] Savvato: [11:30 a.m.-12:00 a.m.] Kyriaki: [11:30 a.m.-1:00 a.m.],burger
2,Rockeat,Partheniou 1 Patra 262 25,177.0,4.9,261 022 1411 +30 261 022 1411,Deftera: [1:30-11:30 p.m.] Triti: [1:30-11:30 p.m.] Tetarti: [1:30-11:30 p.m.] Pempti: [1:30-11:30 p.m.] Paraskefi: [1:30-11:30 p.m.] Savvato: [2:00-11:30 p.m.] Kyriaki: [2:00-11:00 p.m.],burger
3,FOODBOX,Panepistimiou 190 Patra 264 43,95.0,4.7,261 301 4904 +30 261 301 4904,Deftera: [1:00 p.m.-2:00 a.m.] Triti: [1:00 p.m.-2:00 a.m.] Tetarti: [1:00 p.m.-2:00 a.m.] Pempti: [1:00 p.m.-2:00 a.m.] Paraskefi: [1:00 p.m.-2:00 a.m.] Savvato: [1:00 p.m.-2:00 a.m.] Kyriaki: [1:00 p.m.-2:00 a.m.],burger
4,Square 16 - Burger Restaurant,Ellinos Stratiotou 51 Patra 264 41,375.0,4.8,261 181 1123 +30 261 181 1123,Deftera: [1:00 p.m.-12:00 a.m.] Triti: [1:00 p.m.-12:00 a.m.] Tetarti: [1:00 p.m.-12:00 a.m.] Pempti: [1:00 p.m.-12:00 a.m.] Paraskefi: [1:00 p.m.-12:00 a.m.] Savvato: [1:00 p.m.-12:00 a.m.] Kyriaki: [1:00 p.m.-12:00 a.m.],burger
5,Mr Burger,Kolokotroni 5 Patra 262 21,1723.0,4.3,261 027 9900 +30 261 027 9900,Deftera: [1:00 p.m.-12:00 a.m.] Triti: [1:00 p.m.-12:00 a.m.] Tetarti: [1:00 p.m.-12:00 a.m.] Pempti: [1:00 p.m.-12:00 a.m.] Paraskefi: [1:00 p.m.-12:00 a.m.] Savvato: [1:00 p.m.-12:00 a.m.] Kyriaki: [1:00 p.m.-12:00 a.m.],burger
6,Goody's Burger House,Akti Dymaion 17 Patra 262 21,664.0,4.2,261 036 1995 +30 261 036 1995,Deftera: [12:00 p.m.-12:00 a.m.] Triti: [12:00 p.m.-12:00 a.m.] Tetarti: [12:00 p.m.-12:00 a.m.] Pempti: [12:00 p.m.-12:00 a.m.] Paraskefi: [12:00 p.m.-12:00 a.m.] Savvato: [12:00 p.m.-12:00 a.m.] Kyriaki: [12:00 p.m.-12:00 a.m.],burger
7,Goody's Burger House,Maizonos 65 Patra 262 21,771.0,4.0,261 062 4512 +30 261 062 4512,Deftera: [12:00 p.m.-12:00 a.m.] Triti: [12:00 p.m.-12:00 a.m.] Tetarti: [12:00 p.m.-12:00 a.m.] Pempti: [12:00 p.m.-12:00 a.m.] Paraskefi: [12:00 p.m.-12:00 a.m.] Savvato: [12:00 p.m.-12:00 a.m.] Kyriaki: [12:00 p.m.-12:00 a.m.],burger
8,Joy Burgers,Pantanassis 12 Patra 262 21,95.0,3.7,261 181 2757 +30 261 181 2757,Deftera: [12:00 p.m.-2:00 a.m.] Triti: [12:00 p.m.-2:00 a.m.] Tetarti: [12:00 p.m.-2:00 a.m.] Pempti: [12:00 p.m.-2:00 a.m.] Paraskefi: [12:00 p.m.-2:00 a.m.] Savvato: [12:00 p.m.-2:00 a.m.] Kyriaki: [12:00 p.m.-2:00 a.m.],burger
9,Boxeat,Kolokotroni 16 Patra 262 21,204.0,4.6,261 110 4326 +30 261 110 4326,Deftera: [6:00 p.m.-4:00 a.m.] Triti: [6:00 p.m.-4:00 a.m.] Tetarti: [6:00 p.m.-4:00 a.m.] Pempti: [6:00 p.m.-4:00 a.m.] Paraskefi: [6:00 p.m.-5:00 a.m.] Savvato: [6:00 p.m.-5:00 a.m.] Kyriaki: [6:00 p.m.-4:00 a.m.],burger
