Name,Fulladdress,Review Count,Average Rating,Phones,Opening Hours
Tip Top,"Δημ. Γούναρη 223, Πάτρα 262 26",158,4.7,"261 062 3714, +30 261 062 3714","Τρίτη: [8:00 π.μ.-11:30 μ.μ.], Τετάρτη: [8:00 π.μ.-11:30 μ.μ.], Πέμπτη: [8:00 π.μ.-11:30 μ.μ.], Παρασκευή: [8:00 π.μ.-11:30 μ.μ.], Σάββατο: [8:00 π.μ.-11:30 μ.μ.], Κυριακή: [6:00-11:30 μ.μ.], Δευτέρα: [8:00 π.μ.-11:30 μ.μ.]"
Mr Burger,"Κολοκοτρώνη 5, Πάτρα 262 21",1717,4.3,"261 027 9900, +30 261 027 9900","Τρίτη: [1:00 μ.μ.-12:00 π.μ.], Τετάρτη: [1:00 μ.μ.-12:00 π.μ.], Πέμπτη: [1:00 μ.μ.-12:00 π.μ.], Παρασκευή: [1:00 μ.μ.-12:00 π.μ.], Σάββατο: [1:00 μ.μ.-12:00 π.μ.], Κυριακή: [1:00 μ.μ.-12:00 π.μ.], Δευτέρα: [1:00 μ.μ.-12:00 π.μ.]"
Goody's Burger House,"Μαιζώνος 65, Πάτρα 262 21",768,4,"261 062 4512, +30 261 062 4512","Τρίτη: [12:00 μ.μ.-12:00 π.μ.], Τετάρτη: [12:00 μ.μ.-12:00 π.μ.], Πέμπτη: [12:00 μ.μ.-12:00 π.μ.], Παρασκευή: [12:00 μ.μ.-12:00 π.μ.], Σάββατο: [12:00 μ.μ.-12:00 π.μ.], Κυριακή: [12:00 μ.μ.-12:00 π.μ.], Δευτέρα: [12:00 μ.μ.-12:00 π.μ.]"
burger brothers,"Ζαΐμη 8, Πάτρα 262 21",44,4.1,"261 600 8002, +30 261 600 8002","Τρίτη: [1:00 μ.μ.-4:00 π.μ.], Τετάρτη: [1:00 μ.μ.-4:00 π.μ.], Πέμπτη: [1:00 μ.μ.-4:00 π.μ.], Παρασκευή: [1:00 μ.μ.-4:00 π.μ.], Σάββατο: [1:00 μ.μ.-4:00 π.μ.], Κυριακή: [1:00 μ.μ.-4:00 π.μ.], Δευτέρα: [1:00 μ.μ.-4:00 π.μ.]"
Joy Burgers,"Παντανάσσης 12, Πάτρα 262 21",93,3.7,"261 181 2757, +30 261 181 2757","Τρίτη: [12:00 μ.μ.-2:00 π.μ.], Τετάρτη: [12:00 μ.μ.-2:00 π.μ.], Πέμπτη: [12:00 μ.μ.-2:00 π.μ.], Παρασκευή: [12:00 μ.μ.-2:00 π.μ.], Σάββατο: [12:00 μ.μ.-2:00 π.μ.], Κυριακή: [12:00 μ.μ.-2:00 π.μ.], Δευτέρα: [12:00 μ.μ.-2:00 π.μ.]"
FOODBOX,"Πανεπιστημίου 190, Πάτρα 264 43",95,4.7,"261 301 4904, +30 261 301 4904","Τρίτη: [1:00 μ.μ.-2:00 π.μ.], Τετάρτη: [1:00 μ.μ.-2:00 π.μ.], Πέμπτη: [1:00 μ.μ.-2:00 π.μ.], Παρασκευή: [1:00 μ.μ.-2:00 π.μ.], Σάββατο: [1:00 μ.μ.-2:00 π.μ.], Κυριακή: [1:00 μ.μ.-2:00 π.μ.], Δευτέρα: [1:00 μ.μ.-2:00 π.μ.]"
Rockeat,"Παρθενίου 1, Πάτρα 262 25",176,4.9,"261 022 1411, +30 261 022 1411","Τρίτη: [1:30-11:30 μ.μ.], Τετάρτη: [1:30-11:30 μ.μ.], Πέμπτη: [1:30-11:30 μ.μ.], Παρασκευή: [1:30-11:30 μ.μ.], Σάββατο: [2:00-11:30 μ.μ.], Κυριακή: [2:00-11:00 μ.μ.], Δευτέρα: [1:30-11:30 μ.μ.]"
Mangiare,"Πλ. Υψηλών Αλωνίων 28, Πάτρα 262 24",522,4.2,"261 033 3177, +30 261 033 3177","Τρίτη: [7:00 π.μ.-5:00 π.μ.], Τετάρτη: [7:00 π.μ.-5:00 π.μ.], Πέμπτη: [7:00 π.μ.-12:00 π.μ.], Παρασκευή: [Ανοιχτό όλο το 24ωρο], Σάββατο: [Ανοιχτό όλο το 24ωρο], Κυριακή: [7:00 π.μ.-5:00 π.μ.], Δευτέρα: [7:00 π.μ.-5:00 π.μ.]"
Goody's Burger House,"Ακτή Δυμαίων 17, Πάτρα 262 21",660,4.2,"261 036 1995, +30 261 036 1995","Τρίτη: [12:00 μ.μ.-12:00 π.μ.], Τετάρτη: [12:00 μ.μ.-12:00 π.μ.], Πέμπτη: [12:00 μ.μ.-12:00 π.μ.], Παρασκευή: [12:00 μ.μ.-12:00 π.μ.], Σάββατο: [12:00 μ.μ.-12:00 π.μ.], Κυριακή: [12:00 μ.μ.-12:00 π.μ.], Δευτέρα: [12:00 μ.μ.-12:00 π.μ.]"
Goody's Burger House,"Υψηλών Αλωνίων 19, A, Πάτρα 262 24",564,4.1,"261 033 6917, +30 261 033 6917","Τρίτη: [12:00 μ.μ.-12:00 π.μ.], Τετάρτη: [12:00 μ.μ.-12:00 π.μ.], Πέμπτη: [12:00 μ.μ.-12:00 π.μ.], Παρασκευή: [12:00 μ.μ.-12:00 π.μ.], Σάββατο: [12:00 μ.μ.-12:00 π.μ.], Κυριακή: [12:00 μ.μ.-12:00 π.μ.], Δευτέρα: [12:00 μ.μ.-12:00 π.μ.]"
