"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"Golden Dragon - Πάτρα","Αλ. Υψηλάντου 162, Πάτρα 262 25","Αλ. Υψηλάντου 162","Πάτρα 262 25","Κινέζικο εστιατόριο",,"261 022 6226","261 022 6226, +30 261 022 6226","YES",187,4.4,"https://search.google.com/local/reviews?placeid=ChIJt-ee7d1JXhMRgkGdg29iipg&q=chinese&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=10991706071640129922",38.2445096,21.736698399999998,,,"Τρίτη: [6:00 μ.μ.-1:00 π.μ.], Τετάρτη: [6:00 μ.μ.-1:00 π.μ.], Πέμπτη: [6:00 μ.μ.-1:00 π.μ.], Παρασκευή: [6:00 μ.μ.-1:00 π.μ.], Σάββατο: [6:00 μ.μ.-1:00 π.μ.], Κυριακή: [6:00 μ.μ.-1:00 π.μ.], Δευτέρα: [6:00 μ.μ.-1:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipO5AK78PPp1WvXL42fOlIet5yGhBouHT5ellHyy=w80-h106-k-no","10991706071640129922","ChIJt-ee7d1JXhMRgkGdg29iipg"
"Golden Dragon - Ρίο","Ελευθερίας 10, Ρίο 265 04","Ελευθερίας 10","Ρίο 265 04","Κινέζικο εστιατόριο",,"261 022 6226","261 022 6226, +30 261 022 6226","YES",270,4.4,"https://search.google.com/local/reviews?placeid=ChIJ05Ky8t1JXhMRfheEDJwP_7o&q=chinese&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=13474505773015111550",38.308553499999995,21.7887167,,,"","https://lh5.googleusercontent.com/p/AF1QipP7lpZigre4XiwezY-vJyiOsS4KJObDblvQVGNX=w80-h106-k-no","13474505773015111550","ChIJ05Ky8t1JXhMRfheEDJwP_7o"
"Asia club","Πατρέως, Πάτρα 262 21","Πατρέως","Πάτρα 262 21","Ασιατικό εστιατόριο",,,"","YES",77,4.5,"https://search.google.com/local/reviews?placeid=ChIJq7P-ECBJXhMRSx6QgZ6rAJM&q=chinese&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=10592655020842294859",38.2465747,21.7330676,,,"","https://lh5.googleusercontent.com/p/AF1QipNEbvoI54FGLXtYEl4Z1aIZP5suOGQMv7qpXf4a=w82-h92-k-no","10592655020842294859","ChIJq7P-ECBJXhMRSx6QgZ6rAJM"
"Eataly","Ερμού 30, Πάτρα 262 21","Ερμού 30","Πάτρα 262 21","Εστιατόριο",,"261 024 2640","261 024 2640, +30 261 024 2640","NO",2032,4,"https://search.google.com/local/reviews?placeid=ChIJKdDXId1JXhMRqgOc9Po4S28&q=chinese&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=8019566211960144810",38.2475471,21.734843899999998,,,"Τρίτη: [9:00 π.μ.-12:00 π.μ.], Τετάρτη: [9:00 π.μ.-12:00 π.μ.], Πέμπτη: [9:00 π.μ.-12:00 π.μ.], Παρασκευή: [9:00 π.μ.-12:00 π.μ.], Σάββατο: [9:00 π.μ.-12:00 π.μ.], Κυριακή: [9:00 π.μ.-12:00 π.μ.], Δευτέρα: [9:00 π.μ.-12:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipNqSAvB8JjY-SsVcAkfmlx6sYTMj1Eg0q4DCWgR=w80-h106-k-no","8019566211960144810","ChIJKdDXId1JXhMRqgOc9Po4S28"
"Asian gold","Πατρέως, Πάτρα 262 21","Πατρέως","Πάτρα 262 21","Ασιατικό εστιατόριο",,,"","NO","","",,"https://www.google.com/maps?cid=11940917516835432770",38.2465792,21.733064199999998,,,"","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hLO_l58t9Vkmuaiz6LxOMA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=54.477245&pitch=0&thumbfov=100","11940917516835432770","ChIJMZSVwnJJXhMRQik3QzeptqU"
"ASIA&FOOD","Τριών Ναυάρχων 70, Πάτρα 262 22","Τριών Ναυάρχων 70","Πάτρα 262 22","Ασιατικό εστιατόριο",,"261 181 2899","261 181 2899, +30 261 181 2899","YES",65,4.8,"https://search.google.com/local/reviews?placeid=ChIJZSNTUU5JXhMRif-8QAvhuxY&q=chinese&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=1638150327926325129",38.2417934,21.7313769,,,"Τρίτη: [12:00 μ.μ.-12:00 π.μ.], Τετάρτη: [12:00 μ.μ.-12:00 π.μ.], Πέμπτη: [12:00 μ.μ.-12:00 π.μ.], Παρασκευή: [12:00 μ.μ.-12:00 π.μ.], Σάββατο: [12:00 μ.μ.-12:00 π.μ.], Κυριακή: [12:00 μ.μ.-12:00 π.μ.], Δευτέρα: [12:00 μ.μ.-12:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipPq4CrkgW7sBymQFQTC4JJ5ilAg_b28Og-sWJd7=w122-h92-k-no","1638150327926325129","ChIJZSNTUU5JXhMRif-8QAvhuxY"
"Soya-AsianCuisine","Αγίου Ανδρέου 100, Πάτρα 262 21","Πάτρα","Αγίου Ανδρέου","Κινέζικο εστιατόριο, Ασιατικό εστιατόριο, Εστιατόριο σούσι",,"261 401 6999","261 401 6999, +30 261 401 6999","YES",73,4.8,"https://search.google.com/local/reviews?placeid=ChIJTcBpYkJJXhMRTqJgr7xBlwU&q=chinese&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=402862970324951630",38.2466356,21.7320176,"https://soya-asianguisine.business.site/?utm_source=gmb&utm_medium=referral","business.site","Τρίτη: [12:00 μ.μ.-12:00 π.μ.], Τετάρτη: [12:00 μ.μ.-12:00 π.μ.], Πέμπτη: [12:00 μ.μ.-12:00 π.μ.], Παρασκευή: [12:00 μ.μ.-12:00 π.μ.], Σάββατο: [12:00 μ.μ.-12:00 π.μ.], Κυριακή: [12:00 μ.μ.-12:00 π.μ.], Δευτέρα: [12:00 μ.μ.-12:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipNmI3eeA9MBPUTZBwO6vMEkBqFyVX1ht65Yj7kk=w122-h92-k-no","402862970324951630","ChIJTcBpYkJJXhMRTqJgr7xBlwU"
"Κύμινο Μαγειρείο - Εστιατόριο Μαγειρευτά φαγητά Γήπεδο Παναχαϊκής Πάτρα","Πάτρα 264 41","Πάτρα 264 41","","Εστιατόριο με ζεστά φαγητά κατσαρόλας, Εστιατόριο φαγητού σε πακέτο, Εστιατόριο",,"261 042 0296","261 042 0296, +30 261 042 0296","YES",18,4.5,"https://search.google.com/local/reviews?placeid=ChIJGYgMBhxJXhMRI7hCI7NSqqk&q=chinese&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=12225675067794831395",38.2623955,21.7439376,"https://kiminomageireiopatra.business.site/?utm_source=gmb&utm_medium=referral","business.site","Τρίτη: [9:00 π.μ.-6:00 μ.μ.], Τετάρτη: [9:00 π.μ.-6:00 μ.μ.], Πέμπτη: [9:00 π.μ.-6:00 μ.μ.], Παρασκευή: [9:00 π.μ.-6:00 μ.μ.], Σάββατο: [9:00 π.μ.-6:00 μ.μ.], Κυριακή: [Κλειστά], Δευτέρα: [9:00 π.μ.-6:00 μ.μ.]","https://lh5.googleusercontent.com/p/AF1QipPnwxXSzcFhMlAVaynzheyqAFo_D4sjZ2BD4wb4=w137-h92-k-no","12225675067794831395","ChIJGYgMBhxJXhMRI7hCI7NSqqk"
"SamoSa The Asian Food","Γεροκωστοπούλου 32, Πάτρα 262 21","Γεροκωστοπούλου 32","Πάτρα 262 21","Ασιατικό εστιατόριο",,"261 027 2775","261 027 2775, +30 261 027 2775","YES",203,4.5,"https://search.google.com/local/reviews?placeid=ChIJ58tW7a9JXhMR_cbokS6hPtI&q=chinese&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=15149723417909446397",38.2452353,21.7362382,"https://www.facebook.com/SamosaTheAsianFood/","facebook.com","Τρίτη: [1:30 μ.μ.-12:00 π.μ.], Τετάρτη: [1:30 μ.μ.-12:00 π.μ.], Πέμπτη: [1:30 μ.μ.-12:00 π.μ.], Παρασκευή: [1:30 μ.μ.-12:00 π.μ.], Σάββατο: [1:30 μ.μ.-12:00 π.μ.], Κυριακή: [1:30 μ.μ.-12:00 π.μ.], Δευτέρα: [Κλειστά]","https://lh5.googleusercontent.com/p/AF1QipOI77KybwqFMpoh1AJY6mtA1YxDaERsIE-OYBEm=w122-h92-k-no","15149723417909446397","ChIJ58tW7a9JXhMR_cbokS6hPtI"
"Σούσουρο","Ναυμαχίας Ναυπάκτου 66, Ναύπακτος 303 00","Ναυμαχίας Ναυπάκτου 66","Ναύπακτος 303 00","Εστιατόριο, Καφετέρια",,"2634 025425","2634 025425, +30 2634 025425","YES",1265,4.4,"https://search.google.com/local/reviews?placeid=ChIJhQOq-ZpSXhMRVdxkNoO4Mr8&q=chinese&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=13777277083772574805",38.3889907,21.822370799999998,"https://www.sousouro.com/","sousouro.com","Τρίτη: [10:00 π.μ.-12:00 π.μ.], Τετάρτη: [10:00 π.μ.-12:00 π.μ.], Πέμπτη: [10:00 π.μ.-12:00 π.μ.], Παρασκευή: [10:00 π.μ.-12:00 π.μ.], Σάββατο: [10:00 π.μ.-12:00 π.μ.], Κυριακή: [10:00 π.μ.-12:00 π.μ.], Δευτέρα: [10:00 π.μ.-12:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipOYP0Irqfv0Q47_Q97XwQLjYs1XPG5jNfW1xRot=w163-h92-k-no","13777277083772574805","ChIJhQOq-ZpSXhMRVdxkNoO4Mr8"
