"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"Όνειρο κρέπας","Κορίνθου 67, Πάτρα 262 23","Κορίνθου 67","Πάτρα 262 23","Κρεπερί",,"261 302 6405","261 302 6405, +30 261 302 6405","NO",5,2.8,"https://search.google.com/local/reviews?placeid=ChIJ1UesnxtJXhMR1zflNh1nuzg&q=%CE%BA%CF%81%CE%AD%CF%80%CE%B5%CF%82&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=4087974461941561303",38.2537598,21.7448133,,,"Τρίτη: [12:00 μ.μ.-4:00 π.μ.], Τετάρτη: [12:00 μ.μ.-4:00 π.μ.], Πέμπτη: [12:00 μ.μ.-4:00 π.μ.], Παρασκευή: [12:00 μ.μ.-4:00 π.μ.], Σάββατο: [12:00 μ.μ.-4:00 π.μ.], Κυριακή: [12:00 μ.μ.-4:00 π.μ.], Δευτέρα: [12:00 μ.μ.-4:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipNUPdAWzS6Qrpx9Ix1_3jJrepRcwCB7QbzNu2fo=w138-h92-k-no","4087974461941561303","ChIJ1UesnxtJXhMR1zflNh1nuzg"
"Un reve de Crepe","Κορίνθου 65a, Πάτρα 262 23","Κορίνθου 65a","Πάτρα 262 23","Κρεπερί",,,"","NO",4,5,"https://search.google.com/local/reviews?placeid=ChIJbSdkCZhJXhMRfb0uXcKcVN8&q=%CE%BA%CF%81%CE%AD%CF%80%CE%B5%CF%82&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=16092659727102557565",38.2538035,21.7448655,,,"Τρίτη: [Ανοιχτό όλο το 24ωρο], Τετάρτη: [Ανοιχτό όλο το 24ωρο], Πέμπτη: [Ανοιχτό όλο το 24ωρο], Παρασκευή: [Ανοιχτό όλο το 24ωρο], Σάββατο: [Ανοιχτό όλο το 24ωρο], Κυριακή: [Ανοιχτό όλο το 24ωρο], Δευτέρα: [Ανοιχτό όλο το 24ωρο]","https://lh5.googleusercontent.com/p/AF1QipNS6z_haMknZCkyhi-V0m0EGALdsBkU2JMISqVe=w80-h106-k-no","16092659727102557565","ChIJbSdkCZhJXhMRfb0uXcKcVN8"
"Constantino Creperie","Πλ. Γεωρ. Α 20, Πάτρα 262 21","Πλ. Γεωρ. Α 20","Πάτρα 262 21","Εστιατόριο φαστ φουντ",,"261 112 3623","261 112 3623, +30 261 112 3623","YES",172,4,"https://search.google.com/local/reviews?placeid=ChIJ2UOAVdxJXhMR1e0fZvLoDeE&q=%CE%BA%CF%81%CE%AD%CF%80%CE%B5%CF%82&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=16216873961024122325",38.2464195,21.7341507,"https://www.e-food.gr/delivery/patra/constantino","e-food.gr","Τρίτη: [2:00 μ.μ.-4:00 π.μ.], Τετάρτη: [2:00 μ.μ.-4:00 π.μ.], Πέμπτη: [2:00 μ.μ.-4:00 π.μ.], Παρασκευή: [2:00 μ.μ.-4:00 π.μ.], Σάββατο: [2:00 μ.μ.-4:00 π.μ.], Κυριακή: [2:00 μ.μ.-4:00 π.μ.], Δευτέρα: [2:00 μ.μ.-4:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipN7kalujFL1wiClWiy_rOcFh_pDkjb0MyUSc2-A=w80-h106-k-no","16216873961024122325","ChIJ2UOAVdxJXhMR1e0fZvLoDeE"
"Boxeat","Κολοκοτρώνη 16, Πάτρα 262 21","Κολοκοτρώνη 16","Πάτρα 262 21","Κρεπερί",,"261 110 4326","261 110 4326, +30 261 110 4326","YES",202,4.6,"https://search.google.com/local/reviews?placeid=ChIJqYG0Es9JXhMRznd35FuN6bc&q=%CE%BA%CF%81%CE%AD%CF%80%CE%B5%CF%82&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=13252278804328970190",38.2489157,21.7368097,"http://www.boxeatdelivery.gr/","boxeatdelivery.gr","Τρίτη: [6:00 μ.μ.-4:00 π.μ.], Τετάρτη: [6:00 μ.μ.-4:00 π.μ.], Πέμπτη: [6:00 μ.μ.-4:00 π.μ.], Παρασκευή: [6:00 μ.μ.-5:00 π.μ.], Σάββατο: [6:00 μ.μ.-5:00 π.μ.], Κυριακή: [6:00 μ.μ.-4:00 π.μ.], Δευτέρα: [6:00 μ.μ.-4:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipNGc9SQbsI1ZrwJIcaRxZErThBMqydAKgpf7L0A=w92-h92-k-no","13252278804328970190","ChIJqYG0Es9JXhMRznd35FuN6bc"
"Batter Butlers","Παντανάσσης 9, Πάτρα 262 21","Παντανάσσης 9","Πάτρα 262 21","Κρεπερί, Εστιατόριο φαστ φουντ",,"261 042 1010","261 042 1010, +30 261 042 1010","YES",1438,4.6,"https://search.google.com/local/reviews?placeid=ChIJh23mZNxJXhMR_FJs8zkMjSc&q=%CE%BA%CF%81%CE%AD%CF%80%CE%B5%CF%82&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=2849947582232023804",38.2463767,21.732514,"http://www.batterbutlers.gr/","batterbutlers.gr","Τρίτη: [12:00 μ.μ.-2:00 π.μ.], Τετάρτη: [12:00 μ.μ.-2:00 π.μ.], Πέμπτη: [12:00 μ.μ.-2:00 π.μ.], Παρασκευή: [12:00 μ.μ.-4:00 π.μ.], Σάββατο: [12:00 μ.μ.-4:00 π.μ.], Κυριακή: [12:00 μ.μ.-2:00 π.μ.], Δευτέρα: [12:00 μ.μ.-2:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipN9S_3lfA6xmFaAMXDkcX_kPfWzhsDSN4tovHtr=w163-h92-k-no","2849947582232023804","ChIJh23mZNxJXhMR_FJs8zkMjSc"
"Batter Butlers Αγίας Σοφίας","Ναυμαχίας Έλλης 36Α, Πάτρα 264 41","Ναυμαχίας Έλλης 36Α","Πάτρα 264 41","Κρεπερί",,"261 042 1010","261 042 1010, +30 261 042 1010","YES",774,4.5,"https://search.google.com/local/reviews?placeid=ChIJ3fpUspRJXhMREGD_h5aNkU0&q=%CE%BA%CF%81%CE%AD%CF%80%CE%B5%CF%82&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=5589404290209767440",38.257450999999996,21.7430588,"http://www.batterbutlers.gr/","batterbutlers.gr","Τρίτη: [4:00 μ.μ.-2:00 π.μ.], Τετάρτη: [4:00 μ.μ.-2:00 π.μ.], Πέμπτη: [4:00 μ.μ.-2:00 π.μ.], Παρασκευή: [4:00 μ.μ.-2:00 π.μ.], Σάββατο: [4:00 μ.μ.-2:00 π.μ.], Κυριακή: [4:00 μ.μ.-2:00 π.μ.], Δευτέρα: [4:00 μ.μ.-2:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipMY60fdyIS0SQm6BT1t4nYu1RI7PZK9l3Fi6aZu=w122-h92-k-no","5589404290209767440","ChIJ3fpUspRJXhMREGD_h5aNkU0"
"Crepali","Νόρμαν 25, Πάτρα 262 23","Νόρμαν 25","Πάτρα 262 23","Κρεπερί",,"261 045 5534","261 045 5534, +30 261 045 5534","YES",86,4.1,"https://search.google.com/local/reviews?placeid=ChIJ-34oLupJXhMR4RK5Y3Qd9zE&q=%CE%BA%CF%81%CE%AD%CF%80%CE%B5%CF%82&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=3600378812832486113",38.253439199999995,21.740087199999998,"https://crepalipatras.gr/","crepalipatras.gr","Τρίτη: [1:00 μ.μ.-1:30 π.μ.], Τετάρτη: [1:00 μ.μ.-1:30 π.μ.], Πέμπτη: [1:00 μ.μ.-1:30 π.μ.], Παρασκευή: [1:00 μ.μ.-1:30 π.μ.], Σάββατο: [1:00 μ.μ.-1:30 π.μ.], Κυριακή: [1:00 μ.μ.-1:30 π.μ.], Δευτέρα: [1:00 μ.μ.-1:30 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipNdlch-DDGDbmQl0plBmXHaHC6gK9poWn3hQE2f=w163-h92-k-no","3600378812832486113","ChIJ-34oLupJXhMR4RK5Y3Qd9zE"
"FUEGO","Πλ. Γεωρ. Α 50, Πάτρα 262 21","Πλ. Γεωρ. Α 50","Πάτρα 262 21","Κρεπερί, Εστιατόριο ψησταριά, Καφετέρια, Εστιατόριο φαγητού σε πακέτο, Πιτσαρία",,"261 022 5000","261 022 5000, +30 261 022 5000","NO",9,3.8,"https://search.google.com/local/reviews?placeid=ChIJXVj7pN1JXhMRjK1AjAcaevw&q=%CE%BA%CF%81%CE%AD%CF%80%CE%B5%CF%82&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=18192882264436682124",38.2456069,21.7356312,,,"Τρίτη: [8:00 π.μ.-3:00 π.μ.], Τετάρτη: [8:00 π.μ.-3:00 π.μ.], Πέμπτη: [8:00 π.μ.-3:00 π.μ.], Παρασκευή: [8:00 π.μ.-3:00 π.μ.], Σάββατο: [8:00 π.μ.-3:00 π.μ.], Κυριακή: [8:00 π.μ.-3:00 π.μ.], Δευτέρα: [8:00 π.μ.-3:00 π.μ.]","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Mnzgo9I5VrRGvtZY3pmoRw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=169.27313&pitch=0&thumbfov=100","18192882264436682124","ChIJXVj7pN1JXhMRjK1AjAcaevw"
"Bufala Gelato (Πάτρα)","Ρήγα Φεραίου 117, Πάτρα 262 21","Ρήγα Φεραίου 117","Πάτρα 262 21","Κρεπερί, Παγωτά",,"261 024 0400","261 024 0400, +30 261 024 0400","YES",359,4.5,"https://search.google.com/local/reviews?placeid=ChIJM_kjci1JXhMRWBESuKV3Vd4&q=%CE%BA%CF%81%CE%AD%CF%80%CE%B5%CF%82&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=16020842803081908568",38.2465498,21.733387699999998,"http://bufalagelato.com/","bufalagelato.com","Τρίτη: [9:00 π.μ.-2:00 π.μ.], Τετάρτη: [9:00 π.μ.-2:00 π.μ.], Πέμπτη: [9:00 π.μ.-2:00 π.μ.], Παρασκευή: [9:00 π.μ.-2:00 π.μ.], Σάββατο: [9:00 π.μ.-2:00 π.μ.], Κυριακή: [9:00 π.μ.-2:00 π.μ.], Δευτέρα: [9:00 π.μ.-2:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipMbnfwIjfcM72bkKBDuwEghB0EceVEj9sEKZY2-=w92-h92-k-no","16020842803081908568","ChIJM_kjci1JXhMRWBESuKV3Vd4"
"Factory Flavours - Κρέπες, μπέργκερ , σαλάτες , σαντουιτς","Γεροκωστοπούλου 25, Πάτρα 262 21","Γεροκωστοπούλου 25","Πάτρα 262 21","Κρεπερί, Εστιατόριο φαστ φουντ",,,"","YES",296,4.2,"https://search.google.com/local/reviews?placeid=ChIJsVODlPxJXhMRYhtKAxXIHf0&q=%CE%BA%CF%81%CE%AD%CF%80%CE%B5%CF%82&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=18238954058495433570",38.2455697,21.7360205,,,"","https://lh5.googleusercontent.com/p/AF1QipOt_fuoiwq3NtUokBKmFa5uvDcmD5y9i8HbZEgx=w80-h95-k-no","18238954058495433570","ChIJsVODlPxJXhMRYhtKAxXIHf0"
