"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"Delicious Taste","Ρήγα Φεραίου 51-55, Πάτρα 262 21","Ρήγα Φεραίου 51-55","Πάτρα 262 21","Εστιατόριο",,"261 024 0440","261 024 0440, +30 261 024 0440","YES",231,3.9,"https://search.google.com/local/reviews?placeid=ChIJSV15sMJJXhMR2lFWUwnBmAE&q=food&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=115054036294980058",38.2490203,21.7367199,,,"Τρίτη: [Ανοιχτό όλο το 24ωρο], Τετάρτη: [Ανοιχτό όλο το 24ωρο], Πέμπτη: [Ανοιχτό όλο το 24ωρο], Παρασκευή: [Ανοιχτό όλο το 24ωρο], Σάββατο: [Ανοιχτό όλο το 24ωρο], Κυριακή: [Ανοιχτό όλο το 24ωρο], Δευτέρα: [Ανοιχτό όλο το 24ωρο]","https://lh5.googleusercontent.com/p/AF1QipOpvL6f1pgE6ycd9Ta6wdNrBQ5-HKUzj0d3tu7N=w80-h106-k-no","115054036294980058","ChIJSV15sMJJXhMR2lFWUwnBmAE"
"Bro street food","Αγίου Ανδρέου 72 &, Γεροκωστοπούλου 2, Πάτρα 262 21","Αγίου Ανδρέου 72 &","Γεροκωστοπούλου 2","Εστιατόριο",,"261 600 0306","261 600 0306, +30 261 600 0306","YES",15,5,"https://search.google.com/local/reviews?placeid=ChIJKTHiSFNJXhMRqQ9H-kDmFuA&q=food&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=16147346680734748585",38.2476169,21.7332865,"https://wolt.com/en/grc/patra/restaurant/street-food-bro","wolt.com","Τρίτη: [10:00 π.μ.-4:00 π.μ.], Τετάρτη: [10:00 π.μ.-4:00 π.μ.], Πέμπτη: [10:00 π.μ.-4:00 π.μ.], Παρασκευή: [10:00 π.μ.-4:00 π.μ.], Σάββατο: [10:00 π.μ.-4:00 π.μ.], Κυριακή: [10:00 π.μ.-4:00 π.μ.], Δευτέρα: [10:00 π.μ.-4:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipOcIRvrPZehOSNhLrDf89AvWSdp0CymmtB2dzOo=w163-h92-k-no","16147346680734748585","ChIJKTHiSFNJXhMRqQ9H-kDmFuA"
"TOAST IT PATRA","Κορίνθου 295, Πάτρα 262 21","Κορίνθου 295","Πάτρα 262 21","Εστιατόριο",,"261 401 2842","261 401 2842, +30 261 401 2842","YES",1,5,"https://search.google.com/local/reviews?placeid=ChIJ49TdPtVJXhMR1orcFuGulmE&q=food&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=7032000149960035030",38.2453296,21.7346517,,,"Τρίτη: [9:30 π.μ.-10:00 μ.μ.], Τετάρτη: [9:30 π.μ.-10:00 μ.μ.], Πέμπτη: [9:30 π.μ.-10:00 μ.μ.], Παρασκευή: [9:30 π.μ.-10:00 μ.μ.], Σάββατο: [9:30 π.μ.-10:00 μ.μ.], Κυριακή: [Κλειστά], Δευτέρα: [9:30 π.μ.-10:00 μ.μ.]","https://lh5.googleusercontent.com/p/AF1QipNnQR-dy5kejyLPkvUeLY8zhJ1aHo6ErPnwigqh=w92-h92-k-no","7032000149960035030","ChIJ49TdPtVJXhMR1orcFuGulmE"
"Eataly","Ερμού 30, Πάτρα 262 21","Ερμού 30","Πάτρα 262 21","Εστιατόριο",,"261 024 2640","261 024 2640, +30 261 024 2640","NO",2032,4,"https://search.google.com/local/reviews?placeid=ChIJKdDXId1JXhMRqgOc9Po4S28&q=food&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=8019566211960144810",38.2475471,21.734843899999998,,,"Τρίτη: [9:00 π.μ.-12:00 π.μ.], Τετάρτη: [9:00 π.μ.-12:00 π.μ.], Πέμπτη: [9:00 π.μ.-12:00 π.μ.], Παρασκευή: [9:00 π.μ.-12:00 π.μ.], Σάββατο: [9:00 π.μ.-12:00 π.μ.], Κυριακή: [9:00 π.μ.-12:00 π.μ.], Δευτέρα: [9:00 π.μ.-12:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipMBE9HlQggLvbMyC_vsaaM8S9hRVw5Oyc7XRIko=w163-h92-k-no","8019566211960144810","ChIJKdDXId1JXhMRqgOc9Po4S28"
"FUEGO","Πλ. Γεωρ. Α 50, Πάτρα 262 21","Πλ. Γεωρ. Α 50","Πάτρα 262 21","Κρεπερί, Εστιατόριο ψησταριά, Καφετέρια, Εστιατόριο φαγητού σε πακέτο, Πιτσαρία",,"261 022 5000","261 022 5000, +30 261 022 5000","NO",9,3.8,"https://search.google.com/local/reviews?placeid=ChIJXVj7pN1JXhMRjK1AjAcaevw&q=food&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=18192882264436682124",38.2456069,21.7356312,,,"Τρίτη: [8:00 π.μ.-3:00 π.μ.], Τετάρτη: [8:00 π.μ.-3:00 π.μ.], Πέμπτη: [8:00 π.μ.-3:00 π.μ.], Παρασκευή: [8:00 π.μ.-3:00 π.μ.], Σάββατο: [8:00 π.μ.-3:00 π.μ.], Κυριακή: [8:00 π.μ.-3:00 π.μ.], Δευτέρα: [8:00 π.μ.-3:00 π.μ.]","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Mnzgo9I5VrRGvtZY3pmoRw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=169.27313&pitch=0&thumbfov=100","18192882264436682124","ChIJXVj7pN1JXhMRjK1AjAcaevw"
"Talks","Πλ. Υψηλών Αλωνίων 25, Πάτρα 262 24","Πλ. Υψηλών Αλωνίων 25","Πάτρα 262 24","Εστιατόριο",,"261 031 1322","261 031 1322, +30 261 031 1322","YES",1259,4.6,"https://search.google.com/local/reviews?placeid=ChIJW1GXGt9JXhMRKCKV3m0UOYg&q=food&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=9815899324949013032",38.2407855,21.7337894,"http://talkstalks.gr/","talkstalks.gr","Τρίτη: [7:30 π.μ.-2:00 π.μ.], Τετάρτη: [7:30 π.μ.-2:00 π.μ.], Πέμπτη: [7:30 π.μ.-2:00 π.μ.], Παρασκευή: [7:30 π.μ.-2:00 π.μ.], Σάββατο: [8:00 π.μ.-2:00 π.μ.], Κυριακή: [8:00 π.μ.-2:00 π.μ.], Δευτέρα: [7:30 π.μ.-2:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipMRAg-gn1AE68OB6ASTQBBv85tGRSWvCGUY1m8=w123-h92-k-no","9815899324949013032","ChIJW1GXGt9JXhMRKCKV3m0UOYg"
"Tip Top","Δημ. Γούναρη 223, Πάτρα 262 26","Δημ. Γούναρη 223","Πάτρα 262 26","Εστιατόριο φαστ φουντ",,"261 062 3714","261 062 3714, +30 261 062 3714","YES",158,4.7,"https://search.google.com/local/reviews?placeid=ChIJE5rqhOFJXhMREi7B5EA45Dw&q=food&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=4387693788332633618",38.2385334,21.7444796,,,"Τρίτη: [8:00 π.μ.-11:30 μ.μ.], Τετάρτη: [8:00 π.μ.-11:30 μ.μ.], Πέμπτη: [8:00 π.μ.-11:30 μ.μ.], Παρασκευή: [8:00 π.μ.-11:30 μ.μ.], Σάββατο: [8:00 π.μ.-11:30 μ.μ.], Κυριακή: [6:00-11:30 μ.μ.], Δευτέρα: [8:00 π.μ.-11:30 μ.μ.]","https://lh5.googleusercontent.com/p/AF1QipPmzeTXXS0EkNv2GtyG7RoDIgitYAfjWEI5ixu4=w195-h92-k-no","4387693788332633618","ChIJE5rqhOFJXhMREi7B5EA45Dw"
"Mangiare","Πλ. Υψηλών Αλωνίων 28, Πάτρα 262 24","Πλ. Υψηλών Αλωνίων 28","Πάτρα 262 24","Εστιατόριο φαστ φουντ",,"261 033 3177","261 033 3177, +30 261 033 3177","YES",522,4.2,"https://search.google.com/local/reviews?placeid=ChIJvxymD99JXhMRZa9GDUjgifQ&q=food&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=17620861617128779621",38.2407306,21.7340081,"http://www.mangiare.gr/","mangiare.gr","Τρίτη: [7:00 π.μ.-5:00 π.μ.], Τετάρτη: [7:00 π.μ.-5:00 π.μ.], Πέμπτη: [7:00 π.μ.-12:00 π.μ.], Παρασκευή: [Ανοιχτό όλο το 24ωρο], Σάββατο: [Ανοιχτό όλο το 24ωρο], Κυριακή: [7:00 π.μ.-5:00 π.μ.], Δευτέρα: [7:00 π.μ.-5:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipPjJVPpPsw_aR9Pt6iPA5w9SjGOYzfs-x0NHgKW=w189-h92-k-no","17620861617128779621","ChIJvxymD99JXhMRZa9GDUjgifQ"
"Γεύση","Έλληνος Στρατιώτου 50, Πάτρα 264 41","Έλληνος Στρατιώτου 50","Πάτρα 264 41","Εστιατόριο φαστ φουντ",,"261 045 1397","261 045 1397, +30 261 045 1397","YES",266,4.2,"https://search.google.com/local/reviews?placeid=ChIJrdSvx5RJXhMREU0Q3IyH0ic&q=food&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=2869504951645654289",38.2578228,21.741881199999998,"http://geusipatra.gr/","geusipatra.gr","Τρίτη: [9:30 π.μ.-1:00 π.μ.], Τετάρτη: [9:30 π.μ.-1:00 π.μ.], Πέμπτη: [9:30 π.μ.-1:00 π.μ.], Παρασκευή: [9:30 π.μ.-1:00 π.μ.], Σάββατο: [9:30 π.μ.-1:00 π.μ.], Κυριακή: [5:00 μ.μ.-1:00 π.μ.], Δευτέρα: [9:30 π.μ.-1:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipPetFu-cu9lAb3-X7Hx7JHAc5CZ3I-UUQ6f1uMC=w122-h92-k-no","2869504951645654289","ChIJrdSvx5RJXhMREU0Q3IyH0ic"
"McDonald's","Πάτρα 262 21","Πάτρα 262 21","","Εστιατόριο φαστ φουντ",,"21 0687 3100","21 0687 3100, +30 21 0687 3100","NO",81,3.3,"https://search.google.com/local/reviews?placeid=ChIJXQcAFBhJXhMRwK6dEAalfRs&q=food&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=1980920856580042432",38.2492235,21.736790199999998,"https://mcdonalds.gr/","mcdonalds.gr","Τρίτη: [Ανοιχτό όλο το 24ωρο], Τετάρτη: [Ανοιχτό όλο το 24ωρο], Πέμπτη: [Ανοιχτό όλο το 24ωρο], Παρασκευή: [Ανοιχτό όλο το 24ωρο], Σάββατο: [Ανοιχτό όλο το 24ωρο], Κυριακή: [Ανοιχτό όλο το 24ωρο], Δευτέρα: [Ανοιχτό όλο το 24ωρο]","https://lh5.googleusercontent.com/p/AF1QipMnenfWbaV05ElCER5SxuFZ4-EMP1U6w88BZbEE=w80-h106-k-no","1980920856580042432","ChIJXQcAFBhJXhMRwK6dEAalfRs"
