"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"Το Κουτούκι","Παρθενίου 33, Πάτρα 262 25","Παρθενίου 33","Πάτρα 262 25","Ελληνικό εστιατόριο",,,"","NO",4,4.8,"https://search.google.com/local/reviews?placeid=ChIJW2NsjVRJXhMRpretD5Qn0LI&q=greek+food&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=12884842050778675110",38.2459382,21.7393991,,,"","https://lh5.googleusercontent.com/p/AF1QipO42EPGoQmGqD_wsR_4mrwr4izQGicDrAwXD6LN=w122-h92-k-no","12884842050778675110","ChIJW2NsjVRJXhMRpretD5Qn0LI"
"Άδωνις","Πλ. Υψηλών Αλωνίων 12, Πάτρα 262 24","Πλ. Υψηλών Αλωνίων 12","Πάτρα 262 24","Ελληνικό εστιατόριο, Εστιατόριο",,"261 033 3567","261 033 3567, +30 261 033 3567","YES",252,4.4,"https://search.google.com/local/reviews?placeid=ChIJNRXzSt5JXhMRhNYY8UndhJA&q=greek+food&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=10413691548034717316",38.241178,21.7361142,"https://cafe-17565.business.site/?utm_source=gmb&utm_medium=referral","cafe-17565.business.site","Τρίτη: [8:00 π.μ.-1:00 π.μ.], Τετάρτη: [8:00 π.μ.-1:00 π.μ.], Πέμπτη: [8:00 π.μ.-1:00 π.μ.], Παρασκευή: [8:00 π.μ.-1:00 π.μ.], Σάββατο: [8:00 π.μ.-1:00 π.μ.], Κυριακή: [8:00 π.μ.-1:00 π.μ.], Δευτέρα: [8:00 π.μ.-1:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipN81HtSYVt7A37rxaHWASL8sc7Vjp6CiXbuPva8=w163-h92-k-no","10413691548034717316","ChIJNRXzSt5JXhMRhNYY8UndhJA"
"Αχίλλειον","Παντανάσσης 54, Πάτρα 262 21","Παντανάσσης 54","Πάτρα 262 21","Εστιατόριο, Ελληνικό εστιατόριο, Εστιατόριο μεσογειακής κουζίνας, Εστιατόριο με θαλασσινά",,"261 027 1522","261 027 1522, +30 261 027 1522","YES",368,4.6,"https://search.google.com/local/reviews?placeid=ChIJw6WVbZNJXhMRzh6IJiHSEu4&q=greek+food&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=17155004970429849294",38.244745,21.734306,"http://www.axilleionpatras.gr/","axilleionpatras.gr","Τρίτη: [8:00 π.μ.-6:00 μ.μ.], Τετάρτη: [8:00 π.μ.-6:00 μ.μ.], Πέμπτη: [8:00 π.μ.-6:00 μ.μ.], Παρασκευή: [8:00 π.μ.-6:00 μ.μ.], Σάββατο: [8:00 π.μ.-6:00 μ.μ.], Κυριακή: [Κλειστά], Δευτέρα: [8:00 π.μ.-6:00 μ.μ.]","https://lh5.googleusercontent.com/p/AF1QipP4EQ59r2Krz_-wXX0JoIkm_61lQE4p8VNwHg5p=w122-h92-k-no","17155004970429849294","ChIJw6WVbZNJXhMRzh6IJiHSEu4"
"Μαραβέλας Εστιατόριο","Μονής, Γηροκομείου 60, Πάτρα 265 00","Μονής","Γηροκομείου 60","Ελληνικό εστιατόριο",,"261 027 5901","261 027 5901, +30 261 027 5901","YES",634,4.5,"https://search.google.com/local/reviews?placeid=ChIJnRqlQgFKXhMR6DxummIveDQ&q=greek+food&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=3780823987721747688",38.237044499999996,21.7665763,"https://maravelas.business.site/","maravelas.business.site","Τρίτη: [Κλειστά], Τετάρτη: [Κλειστά], Πέμπτη: [Κλειστά], Παρασκευή: [6:00 μ.μ.-12:00 π.μ.], Σάββατο: [9:00 π.μ.-12:00 π.μ.], Κυριακή: [9:00 π.μ.-11:30 μ.μ.], Δευτέρα: [Κλειστά]","https://lh5.googleusercontent.com/p/AF1QipOw8Frw5ta0-PhH7S0aAK03x_Zv5NpZQrV8D8B7=w80-h106-k-no","3780823987721747688","ChIJnRqlQgFKXhMR6DxummIveDQ"
"Terra","Κανάρη και Ρήγα Φεραίου, Πάτρα 262 21","Κανάρη και Ρήγα Φεραίου","Πάτρα 262 21","Εστιατόριο, Καφετέρια, Εστιατόριο μεσογειακής κουζίνας, Μπαρ με κρασί",,"261 031 3000","261 031 3000, +30 261 031 3000","YES",760,4.5,"https://search.google.com/local/reviews?placeid=ChIJR5dt_NtJXhMRpYpdYEZqQAk&q=greek+food&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=666649595347831461",38.2447714,21.731107899999998,"https://www.facebook.com/terrabistroo/","facebook.com","Τρίτη: [8:00 π.μ.-1:00 π.μ.], Τετάρτη: [8:00 π.μ.-1:00 π.μ.], Πέμπτη: [8:00 π.μ.-1:00 π.μ.], Παρασκευή: [8:00 π.μ.-1:00 π.μ.], Σάββατο: [8:30 π.μ.-1:00 π.μ.], Κυριακή: [Κλειστά], Δευτέρα: [8:00 π.μ.-1:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipNqICs5CRtyNZQ4kxRVAsKsbb6425CjK5x6IGlQ=w80-h106-k-no","666649595347831461","ChIJR5dt_NtJXhMRpYpdYEZqQAk"
"Troufa","Πατρέως 83, Πάτρα 262 25","Πατρέως 83","Πάτρα 262 25","Εστιατόριο, Μπαρ, Κοκτέιλ μπαρ, Καφετέρια",,"261 062 3717","261 062 3717, +30 261 062 3717","YES",138,4.4,"https://search.google.com/local/reviews?placeid=ChIJmSGBxN1JXhMRQBwotbW3sQo&q=greek+food&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=770599002313333824",38.2442298,21.7359369,"https://www.facebook.com/troufapatra/","facebook.com","Τρίτη: [8:00 π.μ.-12:00 π.μ.], Τετάρτη: [8:00 π.μ.-12:00 π.μ.], Πέμπτη: [8:00 π.μ.-12:00 π.μ.], Παρασκευή: [8:00 π.μ.-12:00 π.μ.], Σάββατο: [8:00 π.μ.-12:00 π.μ.], Κυριακή: [10:00 π.μ.-7:00 μ.μ.], Δευτέρα: [Κλειστά]","https://lh5.googleusercontent.com/p/AF1QipNZgfkqkSTVMgeUQ-t_t9or4LgDw3tkHfdemxA7=w80-h106-k-no","770599002313333824","ChIJmSGBxN1JXhMRQBwotbW3sQo"
"PORTO FINO KOUZINA","Έλληνος Στρατιώτου 13, Πάτρα 262 23","Έλληνος Στρατιώτου 13","Πάτρα 262 23","Ελληνικό εστιατόριο, Ψητοπωλείο-μπριζολάδικο, Πιτσαρία",,"261 043 4434","261 043 4434, +30 261 043 4434","YES",359,4.3,"https://search.google.com/local/reviews?placeid=ChIJyxGwqutJXhMRLBYv08_a3fo&q=greek+food&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=18076845065471202860",38.2550546,21.7404337,,,"Τρίτη: [11:30 π.μ.-12:30 π.μ.], Τετάρτη: [11:30 π.μ.-12:30 π.μ.], Πέμπτη: [11:30 π.μ.-12:30 π.μ.], Παρασκευή: [11:30 π.μ.-12:30 π.μ.], Σάββατο: [11:30 π.μ.-12:30 π.μ.], Κυριακή: [11:00 π.μ.-12:30 π.μ.], Δευτέρα: [11:30 π.μ.-12:30 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipPaek5Nv0p-7Zq6EIDJ3oWFdCRTv290neoH1HqF=w89-h92-k-no","18076845065471202860","ChIJyxGwqutJXhMRLBYv08_a3fo"
"Santa Rosa","Αγίου Διονυσίου 23-25, Πάτρα 262 23","Αγίου Διονυσίου 23-25","Πάτρα 262 23","Εστιατόριο",,"261 043 3742","261 043 3742, +30 261 043 3742","YES",1160,4.4,"https://search.google.com/local/reviews?placeid=ChIJv0JsAupJXhMRV1nB3upusD0&q=greek+food&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=4445174787253295447",38.253136999999995,21.737875799999998,"https://www.santarosa.gr/","santarosa.gr","Τρίτη: [8:00 π.μ.-2:00 π.μ.], Τετάρτη: [8:00 π.μ.-2:00 π.μ.], Πέμπτη: [8:00 π.μ.-2:00 π.μ.], Παρασκευή: [8:00 π.μ.-2:00 π.μ.], Σάββατο: [8:00 π.μ.-2:00 π.μ.], Κυριακή: [8:00 π.μ.-2:00 π.μ.], Δευτέρα: [8:00 π.μ.-2:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipOk8uaOaOFwb_gKsUZbNRCx6EXithPvoTIrSX_-=w80-h100-k-no","4445174787253295447","ChIJv0JsAupJXhMRV1nB3upusD0"
"Yami Yami","Ρήγα Φεραίου 3, Πάτρα 262 23","Ρήγα Φεραίου 3","Πάτρα 262 23","Ελληνικό εστιατόριο",,"261 027 0399","261 027 0399, +30 261 027 0399","NO",8,2.9,"https://search.google.com/local/reviews?placeid=ChIJKQGHmOlJXhMRmk7d7EcySxk&q=greek+food&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=1822605758699490970",38.2515991,21.740056,"https://www.e-food.gr/delivery/patra/yami-yami","e-food.gr","Τρίτη: [11:00 π.μ.-7:00 μ.μ.], Τετάρτη: [11:00 π.μ.-7:00 μ.μ.], Πέμπτη: [11:00 π.μ.-7:00 μ.μ.], Παρασκευή: [11:00 π.μ.-7:00 μ.μ.], Σάββατο: [11:00 π.μ.-7:00 μ.μ.], Κυριακή: [11:00 π.μ.-7:00 μ.μ.], Δευτέρα: [11:00 π.μ.-7:00 μ.μ.]","https://lh5.googleusercontent.com/p/AF1QipP0IsfzIHV0T9J89HCoivDy4sxUYGJcrdJ8jFam=w80-h172-k-no","1822605758699490970","ChIJKQGHmOlJXhMRmk7d7EcySxk"
"απίκο Μεζεδοτεχνείο","Σισμάνη 14, Ναύπακτος 303 00","Σισμάνη 14","Ναύπακτος 303 00","Ελληνικό εστιατόριο",,"2634 306927","2634 306927, +30 2634 306927","YES",999,4.7,"https://search.google.com/local/reviews?placeid=ChIJf3yrsxdTXhMR7lGVC7hT_Ek&q=greek+food&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=5331228108833247726",38.3931799,21.830006599999997,"https://www.facebook.com/apikomezedotexneio/","facebook.com","Τρίτη: [12:00 μ.μ.-12:00 π.μ.], Τετάρτη: [12:00 μ.μ.-12:00 π.μ.], Πέμπτη: [12:00 μ.μ.-12:00 π.μ.], Παρασκευή: [12:00 μ.μ.-12:00 π.μ.], Σάββατο: [12:00 μ.μ.-12:00 π.μ.], Κυριακή: [12:00 μ.μ.-12:00 π.μ.], Δευτέρα: [12:00 μ.μ.-12:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipOv4ExxczLQ199sVvb-9oHdeS91gGXNiYUkxhIn=w80-h106-k-no","5331228108833247726","ChIJf3yrsxdTXhMR7lGVC7hT_Ek"
