"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"Menodiciotto","Γεροκωστοπούλου 20, Πάτρα 262 21","Γεροκωστοπούλου 20","Πάτρα 262 21","Παγωτά, Κατάστημα χυμών",,"261 000 9686","261 000 9686, +30 261 000 9686","NO",373,4.6,"https://search.google.com/local/reviews?placeid=ChIJBWOl5NxJXhMRPWK_dEIr4-Y&q=%CF%80%CE%B1%CE%B3%CF%89%CF%84%CF%8C&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=16637189012863279677",38.2469672,21.734125,"https://www.facebook.com/Menodiciotto-Patras-533336013475605/","facebook.com","Τρίτη: [8:00 π.μ.-2:00 π.μ.], Τετάρτη: [8:00 π.μ.-2:00 π.μ.], Πέμπτη: [8:00 π.μ.-2:00 π.μ.], Παρασκευή: [8:00 π.μ.-2:00 π.μ.], Σάββατο: [8:00 π.μ.-2:00 π.μ.], Κυριακή: [8:00 π.μ.-2:00 π.μ.], Δευτέρα: [8:00 π.μ.-2:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipNEgizRgFiwsXBVYEkWHILTLSxOZDd4qteuUpqL=w80-h142-k-no","16637189012863279677","ChIJBWOl5NxJXhMRPWK_dEIr4-Y"
"Bufala Gelato (Πάτρα)","Ρήγα Φεραίου 117, Πάτρα 262 21","Ρήγα Φεραίου 117","Πάτρα 262 21","Παγωτά, Κρεπερί",,"261 024 0400","261 024 0400, +30 261 024 0400","YES",359,4.5,"https://search.google.com/local/reviews?placeid=ChIJM_kjci1JXhMRWBESuKV3Vd4&q=%CF%80%CE%B1%CE%B3%CF%89%CF%84%CF%8C&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=16020842803081908568",38.2465498,21.733387699999998,"http://bufalagelato.com/","bufalagelato.com","Τρίτη: [9:00 π.μ.-2:00 π.μ.], Τετάρτη: [9:00 π.μ.-2:00 π.μ.], Πέμπτη: [9:00 π.μ.-2:00 π.μ.], Παρασκευή: [9:00 π.μ.-2:00 π.μ.], Σάββατο: [9:00 π.μ.-2:00 π.μ.], Κυριακή: [9:00 π.μ.-2:00 π.μ.], Δευτέρα: [9:00 π.μ.-2:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipNA3y5yZfszw6SNlSwP6F45aNKtfoMblZhzSklZ=w92-h92-k-no","16020842803081908568","ChIJM_kjci1JXhMRWBESuKV3Vd4"
"geLatino","Τριών Ναυάρχων 29, Πάτρα 262 22","Τριών Ναυάρχων 29","Πάτρα 262 22","Παγωτά",,"697 794 2127","697 794 2127, +30 697 794 2127","YES",394,4.7,"https://search.google.com/local/reviews?placeid=ChIJ13B5I9lJXhMRH_U07Nklf-Q&q=%CF%80%CE%B1%CE%B3%CF%89%CF%84%CF%8C&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=16464920380590847263",38.2425886,21.730504399999997,,,"Τρίτη: [7:00-11:00 μ.μ.], Τετάρτη: [7:00-11:00 μ.μ.], Πέμπτη: [7:00-11:00 μ.μ.], Παρασκευή: [6:00 μ.μ.-1:00 π.μ.], Σάββατο: [6:00 μ.μ.-1:00 π.μ.], Κυριακή: [6:00 μ.μ.-12:30 π.μ.], Δευτέρα: [7:00-11:00 μ.μ.]","https://lh5.googleusercontent.com/p/AF1QipMnhoK9TOb573kd-7O1fvMsNmwi_ysXuPdpluYW=w80-h131-k-no","16464920380590847263","ChIJ13B5I9lJXhMRH_U07Nklf-Q"
"Dimitriou Gelateria","Τριών Ναυάρχων 42-44, Πάτρα 262 22","Τριών Ναυάρχων 42-44","Πάτρα 262 22","Παγωτά",,"261 032 1599","261 032 1599, +30 261 032 1599","YES",244,4.7,"https://search.google.com/local/reviews?placeid=ChIJN0i0QJFJXhMR-g_IliHuflw&q=%CF%80%CE%B1%CE%B3%CF%89%CF%84%CF%8C&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=6665026326585937914",38.2428181,21.7295654,,,"Τρίτη: [12:00 μ.μ.-2:00 π.μ.], Τετάρτη: [12:00 μ.μ.-2:00 π.μ.], Πέμπτη: [12:00 μ.μ.-2:00 π.μ.], Παρασκευή: [12:00 μ.μ.-2:00 π.μ.], Σάββατο: [12:00 μ.μ.-3:00 π.μ.], Κυριακή: [11:00 π.μ.-2:00 π.μ.], Δευτέρα: [12:00 μ.μ.-2:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipM8f6UCpDuWenhyjpNvE8qN9_qFeOW114awxdi1=w122-h92-k-no","6665026326585937914","ChIJN0i0QJFJXhMR-g_IliHuflw"
"CHOCOMARE","Μαιζώνος 28, Πάτρα 262 23","Μαιζώνος 28","Πάτρα 262 23","Παγωτά",,"261 301 5009","261 301 5009, +30 261 301 5009","YES",45,4.7,"https://search.google.com/local/reviews?placeid=ChIJ2ZgbLAJJXhMR3YSp7x0TKSI&q=%CF%80%CE%B1%CE%B3%CF%89%CF%84%CF%8C&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=2461519690630530269",38.249986299999996,21.7391838,,,"Τρίτη: [3:00 μ.μ.-1:00 π.μ.], Τετάρτη: [3:00 μ.μ.-1:00 π.μ.], Πέμπτη: [3:00 μ.μ.-1:00 π.μ.], Παρασκευή: [3:00 μ.μ.-1:00 π.μ.], Σάββατο: [3:00 μ.μ.-1:00 π.μ.], Κυριακή: [3:00 μ.μ.-1:00 π.μ.], Δευτέρα: [3:00 μ.μ.-1:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipPnzZFtMaZTUaoyEeVGwz7H8moLHq1gQkOnvxDM=w92-h92-k-no","2461519690630530269","ChIJ2ZgbLAJJXhMR3YSp7x0TKSI"
"GIOVA GELATO","Πλ. Γεωρ. Α 18, Πάτρα 262 21","Πλ. Γεωρ. Α 18","Πάτρα 262 21","Παγωτά",,"261 022 0596","261 022 0596, +30 261 022 0596","YES",93,4.9,"https://search.google.com/local/reviews?placeid=ChIJZRktqnRJXhMRfMBmYfWElcI&q=%CF%80%CE%B1%CE%B3%CF%89%CF%84%CF%8C&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=14021259204323885180",38.2464028,21.7341881,,,"Τρίτη: [9:00 π.μ.-2:00 π.μ.], Τετάρτη: [9:00 π.μ.-2:00 π.μ.], Πέμπτη: [9:00 π.μ.-2:00 π.μ.], Παρασκευή: [9:00 π.μ.-2:00 π.μ.], Σάββατο: [9:00 π.μ.-2:00 π.μ.], Κυριακή: [9:00 π.μ.-2:00 π.μ.], Δευτέρα: [9:00 π.μ.-2:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipPxEHTa8t0XrE0xalOzsWJqCZdErYS2bih3FWZP=w80-h106-k-no","14021259204323885180","ChIJZRktqnRJXhMRfMBmYfWElcI"
"Meno 18","Γεροκωστοπούλου 18, Πάτρα 262 21","Γεροκωστοπούλου 18","Πάτρα 262 21","Παγωτά",,,"","NO",22,4.7,"https://search.google.com/local/reviews?placeid=ChIJpZ3GRWFJXhMRO0qd1xEl-vM&q=%CF%80%CE%B1%CE%B3%CF%89%CF%84%CF%8C&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=17580404853956233787",38.2469512,21.7341187,,,"","https://lh5.googleusercontent.com/p/AF1QipNsHQUuci7Gv5MmixuFrR1YioTM9SRh_HXmzfSm=w138-h92-k-no","17580404853956233787","ChIJpZ3GRWFJXhMRO0qd1xEl-vM"
"Gelato Italiano","Εμμανουήλ Μπενάκη 12, Πάτρα 264 43","Εμμανουήλ Μπενάκη 12","Πάτρα 264 43","Παγωτά",,"694 425 6635","694 425 6635, +30 694 425 6635","NO",28,4.9,"https://search.google.com/local/reviews?placeid=ChIJC6RmNVFJXhMRfsJWupy3a6I&q=%CF%80%CE%B1%CE%B3%CF%89%CF%84%CF%8C&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=11703649940421395070",38.2669253,21.7606906,,,"Τρίτη: [3:00-10:00 μ.μ.], Τετάρτη: [3:00-10:00 μ.μ.], Πέμπτη: [3:00-10:00 μ.μ.], Παρασκευή: [3:00-10:00 μ.μ.], Σάββατο: [3:00-10:00 μ.μ.], Κυριακή: [3:00-10:00 μ.μ.], Δευτέρα: [3:00-10:00 μ.μ.]","https://lh5.googleusercontent.com/p/AF1QipO3HtuPdDJMdI4ALTVBaQirPwyRoUnZg0F1Oy8=w122-h92-k-no","11703649940421395070","ChIJC6RmNVFJXhMRfsJWupy3a6I"
"ΓΚΙΤΣΗ ΧΡΥΣΟΥΛΑ","Ιωνίας 52, Πάτρα 262 24","Ιωνίας 52","Πάτρα 262 24","Παγωτά, Ζαχαροπλαστείο",,"261 032 5351","261 032 5351, +30 261 032 5351","YES",218,4.5,"https://search.google.com/local/reviews?placeid=ChIJk0zmsB82XhMRaUVxT1MhpGY&q=%CF%80%CE%B1%CE%B3%CF%89%CF%84%CF%8C&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=7396073129748022633",38.236422499999996,21.7399073,,,"Τρίτη: [7:00 π.μ.-12:00 π.μ.], Τετάρτη: [7:00 π.μ.-12:00 π.μ.], Πέμπτη: [7:00 π.μ.-12:00 π.μ.], Παρασκευή: [6:30 π.μ.-12:30 π.μ.], Σάββατο: [6:30 π.μ.-12:30 π.μ.], Κυριακή: [7:30 π.μ.-12:30 π.μ.], Δευτέρα: [6:30 π.μ.-12:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipOYmu6EgVeNlcC-JKadkE0uUHunNAKbEecBKF_7=w80-h106-k-no","7396073129748022633","ChIJk0zmsB82XhMRaUVxT1MhpGY"
"Xoriatiko","Γεροκωστοπούλου 21, Πάτρα 262 21","Γεροκωστοπούλου 21","Πάτρα 262 21","Παγωτά",,,"","NO",2,3.5,"https://search.google.com/local/reviews?placeid=ChIJI5CxFshJXhMRdQl7Jx-6VVI&q=%CF%80%CE%B1%CE%B3%CF%89%CF%84%CF%8C&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=5932852727099623797",38.2468246,21.73452,,,"","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xC-Y1cW6yqVXrppAUO7KGQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=12.407191&pitch=0&thumbfov=100","5932852727099623797","ChIJI5CxFshJXhMRdQl7Jx-6VVI"
