"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"Eataly","Ερμού 30, Πάτρα 262 21","Ερμού 30","Πάτρα 262 21","Εστιατόριο",,"261 024 2640","261 024 2640, +30 261 024 2640","NO",2032,4,"https://search.google.com/local/reviews?placeid=ChIJKdDXId1JXhMRqgOc9Po4S28&q=italian+food&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=8019566211960144810",38.2475471,21.734843899999998,,,"Τρίτη: [9:00 π.μ.-12:00 π.μ.], Τετάρτη: [9:00 π.μ.-12:00 π.μ.], Πέμπτη: [9:00 π.μ.-12:00 π.μ.], Παρασκευή: [9:00 π.μ.-12:00 π.μ.], Σάββατο: [9:00 π.μ.-12:00 π.μ.], Κυριακή: [9:00 π.μ.-12:00 π.μ.], Δευτέρα: [9:00 π.μ.-12:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipMBE9HlQggLvbMyC_vsaaM8S9hRVw5Oyc7XRIko=w163-h92-k-no","8019566211960144810","ChIJKdDXId1JXhMRqgOc9Po4S28"
"Salumeria","Παντανάσσης 27, Πάτρα 262 21","Παντανάσσης 27","Πάτρα 262 21","Εστιατόριο",,"261 022 5930","261 022 5930, +30 261 022 5930","YES",2005,4.6,"https://search.google.com/local/reviews?placeid=ChIJV7BjQdxJXhMRYJqgsIHaxWw&q=italian+food&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=7837910977057167968",38.2456264,21.7334265,"https://m.facebook.com/salumeriapatra/?locale2=el_GR","m.facebook.com","Τρίτη: [12:00 μ.μ.-1:00 π.μ.], Τετάρτη: [12:00 μ.μ.-1:00 π.μ.], Πέμπτη: [12:00 μ.μ.-1:00 π.μ.], Παρασκευή: [12:00 μ.μ.-1:00 π.μ.], Σάββατο: [12:00 μ.μ.-1:00 π.μ.], Κυριακή: [12:00 μ.μ.-1:00 π.μ.], Δευτέρα: [12:00 μ.μ.-1:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipNH2rpeSPkiFDlQYJkLqXI66L2kf6ijFKBKDCT6=w80-h106-k-no","7837910977057167968","ChIJV7BjQdxJXhMRYJqgsIHaxWw"
"Santa Rosa","Αγίου Διονυσίου 23-25, Πάτρα 262 23","Αγίου Διονυσίου 23-25","Πάτρα 262 23","Εστιατόριο",,"261 043 3742","261 043 3742, +30 261 043 3742","YES",1160,4.4,"https://search.google.com/local/reviews?placeid=ChIJv0JsAupJXhMRV1nB3upusD0&q=italian+food&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=4445174787253295447",38.253136999999995,21.737875799999998,"https://www.santarosa.gr/","santarosa.gr","Τρίτη: [8:00 π.μ.-2:00 π.μ.], Τετάρτη: [8:00 π.μ.-2:00 π.μ.], Πέμπτη: [8:00 π.μ.-2:00 π.μ.], Παρασκευή: [8:00 π.μ.-2:00 π.μ.], Σάββατο: [8:00 π.μ.-2:00 π.μ.], Κυριακή: [8:00 π.μ.-2:00 π.μ.], Δευτέρα: [8:00 π.μ.-2:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipNfJ7TM3Jyeyy0lAe-Nkp4Bj_gLq5cMtOVQfkDS=w80-h100-k-no","4445174787253295447","ChIJv0JsAupJXhMRV1nB3upusD0"
"Bianco","Ρήγα Φεραίου 148-150, Πάτρα 262 22","Ρήγα Φεραίου 148-150","Πάτρα 262 22","Εστιατόριο",,"261 033 1009","261 033 1009, +30 261 033 1009","YES",552,4.6,"https://search.google.com/local/reviews?placeid=ChIJ_5iUgG1JXhMRDZkZ3c-I85s&q=italian+food&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=11237475921568569613",38.2449157,21.7313537,,,"Τρίτη: [7:00 π.μ.-2:00 π.μ.], Τετάρτη: [7:00 π.μ.-2:00 π.μ.], Πέμπτη: [7:00 π.μ.-2:00 π.μ.], Παρασκευή: [7:00 π.μ.-2:00 π.μ.], Σάββατο: [7:00 π.μ.-2:00 π.μ.], Κυριακή: [7:00 π.μ.-2:00 π.μ.], Δευτέρα: [7:00 π.μ.-2:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipOvBtPqGR65IW17kkvd7ffM7FQSQh5ZwC8lOFit=w80-h171-k-no","11237475921568569613","ChIJ_5iUgG1JXhMRDZkZ3c-I85s"
"Bodegas","Ρήγα Φεραίου 147, Πάτρα 262 21","Ρήγα Φεραίου 147","Πάτρα 262 21","Ολοήμερο εστιατόριο, Καλλιτεχνικό καφέ, Εστιατόριο",,"261 022 1113","261 022 1113, +30 261 022 1113","YES",2091,4.4,"https://search.google.com/local/reviews?placeid=ChIJLdeECdxJXhMRQebIGUOpSeA&q=italian+food&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=16161634843456235073",38.2451527,21.7319346,"https://el-gr.facebook.com/bodegaspatra/","el-gr.facebook.com","Τρίτη: [7:00 π.μ.-5:00 π.μ.], Τετάρτη: [7:00 π.μ.-5:00 π.μ.], Πέμπτη: [7:00 π.μ.-5:00 π.μ.], Παρασκευή: [7:00 π.μ.-5:00 π.μ.], Σάββατο: [7:00 π.μ.-5:00 π.μ.], Κυριακή: [7:00 π.μ.-5:00 π.μ.], Δευτέρα: [7:00 π.μ.-5:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipOWSNSLnizaXAHtW79YaNPWWTsWYHaqd6-dSDoF=w122-h92-k-no","16161634843456235073","ChIJLdeECdxJXhMRQebIGUOpSeA"
"Carousello","Πατρέως 22, Πάτρα 262 21","Πατρέως 22","Πάτρα 262 21","Καφετέρια, Μπαρ, Εστιατόριο tapas, Μπαρ με κρασί",,"261 400 7536","261 400 7536, +30 261 400 7536","NO",2335,4.5,"https://search.google.com/local/reviews?placeid=ChIJ_T3emuBJXhMRFbT9YL3j32E&q=italian+food&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=7052605944001049621",38.246256699999996,21.7332292,"https://www.facebook.com/pages/Carousello/521036804604144","facebook.com","Τρίτη: [7:30 π.μ.-4:00 π.μ.], Τετάρτη: [7:30 π.μ.-4:00 π.μ.], Πέμπτη: [7:30 π.μ.-4:00 π.μ.], Παρασκευή: [7:30 π.μ.-4:00 π.μ.], Σάββατο: [7:30 π.μ.-4:00 π.μ.], Κυριακή: [7:30 π.μ.-4:00 π.μ.], Δευτέρα: [7:30 π.μ.-4:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipNxsVhTLH2MjIXw_95SYqK_b53Vju46KZSo-pkR=w137-h92-k-no","7052605944001049621","ChIJ_T3emuBJXhMRFbT9YL3j32E"
"Τοti Coffee Rio","Ποσειδώνος 11, Ρίο 265 04","Ποσειδώνος 11","Ρίο 265 04","Ιταλικό εστιατόριο",,"261 099 5780","261 099 5780, +30 261 099 5780","YES",22,4,"https://search.google.com/local/reviews?placeid=ChIJS2AODd1LXhMRl5knwtJMUzc&q=italian+food&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=3986614563237239191",38.306471599999995,21.778304799999997,,,"Τρίτη: [9:00 π.μ.-1:00 π.μ.], Τετάρτη: [9:00 π.μ.-1:00 π.μ.], Πέμπτη: [9:00 π.μ.-1:00 π.μ.], Παρασκευή: [9:00 π.μ.-1:00 π.μ.], Σάββατο: [9:00 π.μ.-1:00 π.μ.], Κυριακή: [9:00 π.μ.-1:00 π.μ.], Δευτέρα: [9:00 π.μ.-1:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipNaF6QnlFUULqRivBkMxVFqdK5-yRPbYQQwGDoF=w92-h92-k-no","3986614563237239191","ChIJS2AODd1LXhMRl5knwtJMUzc"
"Owl Κουκουβάγια","Ρήγα Φεραίου 140, Πάτρα 262 21","Ρήγα Φεραίου 140","Πάτρα 262 21","Εστιατόριο, Μπαρ με κρασί",,"261 550 0505","261 550 0505, +30 261 550 0505","YES",1413,4.3,"https://search.google.com/local/reviews?placeid=ChIJAQ-dDNxJXhMRWsHzV_KXvz4&q=italian+food&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=4521499618016739674",38.2453808,21.7318651,"https://www.facebook.com/koukoubagiapatras/","facebook.com","Τρίτη: [7:00 π.μ.-3:00 π.μ.], Τετάρτη: [7:00 π.μ.-3:00 π.μ.], Πέμπτη: [7:00 π.μ.-3:00 π.μ.], Παρασκευή: [7:00 π.μ.-3:00 π.μ.], Σάββατο: [8:00 π.μ.-3:00 π.μ.], Κυριακή: [8:00 π.μ.-3:00 π.μ.], Δευτέρα: [7:00 π.μ.-3:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipMkhmn2Yww5LMZOjKPUoGADnI16iKRr0O-4Ze1l=w92-h92-k-no","4521499618016739674","ChIJAQ-dDNxJXhMRWsHzV_KXvz4"
"Bonasera","Κωνσταντινουπόλεως 24, Πάτρα 262 23","Κωνσταντινουπόλεως 24","Πάτρα 262 23","Ιταλικό εστιατόριο",,,"","NO",4,5,"https://search.google.com/local/reviews?placeid=ChIJbzPXy_VJXhMRb9L7fy1PqPY&q=italian+food&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=17773542986256994927",38.2562966,21.7430161,,,"","https://lh5.googleusercontent.com/p/AF1QipPRkAhY3vyi9JgFxqKsrjeQ6ntaRq6rjqNryzEQ=w80-h177-k-no","17773542986256994927","ChIJbzPXy_VJXhMRb9L7fy1PqPY"
"Γαστρονόμος","Αγίου Ανδρέου 61, Πάτρα 262 21","Αγίου Ανδρέου 61","Πάτρα 262 21","Ιταλικό εστιατόριο, Ελληνικό εστιατόριο, Εστιατόριο",,"261 027 2272","261 027 2272, +30 261 027 2272","YES",106,4.2,"https://search.google.com/local/reviews?placeid=ChIJG652y-VJXhMRlBPspbN74Mw&q=italian+food&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=14762935590033560468",38.249092399999995,21.7354006,"https://www.facebook.com/gastronomospatras/","facebook.com","Τρίτη: [12:00 μ.μ.-12:30 π.μ.], Τετάρτη: [12:00 μ.μ.-12:30 π.μ.], Πέμπτη: [12:00 μ.μ.-12:30 π.μ.], Παρασκευή: [12:00 μ.μ.-12:30 π.μ.], Σάββατο: [12:00 μ.μ.-12:30 π.μ.], Κυριακή: [12:00 μ.μ.-12:30 π.μ.], Δευτέρα: [12:00 μ.μ.-12:30 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipOdxtmV44KWmu_W-aQqSzjkDoqcTSlh0O4EuAlO=w138-h92-k-no","14762935590033560468","ChIJG652y-VJXhMRlBPspbN74Mw"
