"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"Pachuco","13, Βούρβαχη 1, Πάτρα 262 21","13","Βούρβαχη 1","Μεξικάνικο εστιατόριο",,"261 302 5856","261 302 5856, +30 261 302 5856","NO",174,4.2,"https://search.google.com/local/reviews?placeid=ChIJnx10D9lJXhMRmxypRgeFQIM&q=mexican+restaurant&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=9457705483774794907",38.2458801,21.7343765,"https://www.facebook.com/cocinaybarramexicana/","facebook.com","Τρίτη: [1:00 μ.μ.-2:00 π.μ.], Τετάρτη: [1:00 μ.μ.-2:00 π.μ.], Πέμπτη: [1:00 μ.μ.-2:00 π.μ.], Παρασκευή: [1:00 μ.μ.-2:00 π.μ.], Σάββατο: [10:00 π.μ.-2:00 π.μ.], Κυριακή: [10:00 π.μ.-2:00 π.μ.], Δευτέρα: [1:00 μ.μ.-2:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipP7Bi243-9GuUgqYMSO4wKF8uoaAHre3nnmcMXD=w122-h92-k-no","9457705483774794907","ChIJnx10D9lJXhMRmxypRgeFQIM"
"Παρατί","Ηφαιστου 12, Πάτρα 262 25","Ηφαιστου 12","Πάτρα 262 25","Εστιατόριο",,"261 027 2954","261 027 2954, +30 261 027 2954","YES",88,4.5,"https://search.google.com/local/reviews?placeid=ChIJ6ezLdudJXhMRkro6YHMTvac&q=mexican+restaurant&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=12086838361188907666",38.245246099999996,21.738661999999998,,,"","https://lh5.googleusercontent.com/p/AF1QipM-Hb1Drq0y2TIqYMZGvaMsw2C1YhwLbkbkZD8z=w122-h92-k-no","12086838361188907666","ChIJ6ezLdudJXhMRkro6YHMTvac"
"CHOPEATO","ΑΛΟΝΝΗΣΟΥ 81, Πάτρα 263 34","ΑΛΟΝΝΗΣΟΥ 81","Πάτρα 263 34","Μεξικάνικο εστιατόριο",,"261 031 1132","261 031 1132, +30 261 031 1132","YES",3,5,"https://search.google.com/local/reviews?placeid=ChIJw3EGSFk3XhMRzuZRV7s0dNg&q=mexican+restaurant&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=15597149388719384270",38.2204931,21.7454313,,,"","https://lh5.googleusercontent.com/p/AF1QipPVo2NLaM6Nx4Th7MSkdZtfrXcgFbb-Nea5G9Lh=w170-h92-k-no","15597149388719384270","ChIJw3EGSFk3XhMRzuZRV7s0dNg"
"Ο Μπαρμπαγιάννης","Παντανάσσης 3, Πάτρα 262 21","Παντανάσσης 3","Πάτρα 262 21","Φαγητά στη σχάρα",,"261 062 5221","261 062 5221, +30 261 062 5221","YES",603,4.4,"https://search.google.com/local/reviews?placeid=ChIJ__-cZNxJXhMRWvCUtsWOw1A&q=mexican+restaurant&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=5819652123315728474",38.2464896,21.7323894,"https://www.e-food.gr/delivery/patra/o-mparmpagiannhs","e-food.gr","Τρίτη: [12:00 μ.μ.-2:00 π.μ.], Τετάρτη: [12:00 μ.μ.-2:00 π.μ.], Πέμπτη: [12:00 μ.μ.-2:00 π.μ.], Παρασκευή: [12:00 μ.μ.-2:00 π.μ.], Σάββατο: [12:00 μ.μ.-2:00 π.μ.], Κυριακή: [12:00 μ.μ.-2:00 π.μ.], Δευτέρα: [12:00 μ.μ.-2:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipNPMC-s1KuDE4YAesCVqaL1LDDVCj1rmp0xgz_9=w122-h92-k-no","5819652123315728474","ChIJ__-cZNxJXhMRWvCUtsWOw1A"
"Καντίνα","Γεροκωστοπούλου 39, Πάτρα 262 25","Γεροκωστοπούλου 39","Πάτρα 262 25","Εστιατόριο φαστ φουντ",,"261 110 4226","261 110 4226, +30 261 110 4226","YES",87,4.8,"https://search.google.com/local/reviews?placeid=ChIJM4bf6wBJXhMRXI-ywAxuqGw&q=mexican+restaurant&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=7829628953235197788",38.2448871,21.7368384,"https://kantina-gerokostopoulou.business.site/?utm_source=gmb&utm_medium=referral","business.site","Τρίτη: [8:00 μ.μ.-3:00 π.μ.], Τετάρτη: [8:00 μ.μ.-3:00 π.μ.], Πέμπτη: [8:00 μ.μ.-3:00 π.μ.], Παρασκευή: [5:30 μ.μ.-5:00 π.μ.], Σάββατο: [8:00 μ.μ.-5:00 π.μ.], Κυριακή: [8:00 μ.μ.-3:00 π.μ.], Δευτέρα: [8:00 μ.μ.-3:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipNCitqJmgWYjc-LHYLyZzE0B5eKMT0hQfARRtnd=w92-h92-k-no","7829628953235197788","ChIJM4bf6wBJXhMRXI-ywAxuqGw"
"Mexican Bulldog","Νότη Μπότσαρη 27, Ναύπακτος 303 00","Νότη Μπότσαρη 27","Ναύπακτος 303 00","Μεξικάνικο εστιατόριο",,"2634 029339","2634 029339, +30 2634 029339","YES",218,4.8,"https://search.google.com/local/reviews?placeid=ChIJvWkhhEFTXhMRplkmowBP1pY&q=mexican+restaurant&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=10868961614861064614",38.393018999999995,21.8296694,"https://www.instagram.com/mexicanbulldog_","instagram.com","Τρίτη: [6:00 μ.μ.-12:00 π.μ.], Τετάρτη: [6:00 μ.μ.-12:00 π.μ.], Πέμπτη: [6:00 μ.μ.-12:00 π.μ.], Παρασκευή: [6:00 μ.μ.-1:00 π.μ.], Σάββατο: [6:00 μ.μ.-1:00 π.μ.], Κυριακή: [6:00 μ.μ.-12:30 π.μ.], Δευτέρα: [6:00 μ.μ.-12:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipMS1FQapB8gzbKwpP82Mwmug0XLoP2l3TZbjvXx=w80-h106-k-no","10868961614861064614","ChIJvWkhhEFTXhMRplkmowBP1pY"
"México Mi Amor","Τσακάλωφ 10, Αθήνα 106 73","Τσακάλωφ 10","Αθήνα 106 73","Μεξικάνικο εστιατόριο",,"698 745 4777","698 745 4777, +30 698 745 4777","YES",237,4.2,"https://search.google.com/local/reviews?placeid=ChIJNdCevCq9oRQRt6xHQBGhI2w&q=mexican+restaurant&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=7792248875746045111",37.9780303,23.7407143,,,"Τρίτη: [9:00 π.μ.-5:00 π.μ.], Τετάρτη: [9:00 π.μ.-5:00 π.μ.], Πέμπτη: [9:00 π.μ.-5:00 π.μ.], Παρασκευή: [9:00 π.μ.-5:00 π.μ.], Σάββατο: [9:00 π.μ.-5:00 π.μ.], Κυριακή: [9:00 π.μ.-3:00 π.μ.], Δευτέρα: [9:00 π.μ.-5:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipO9S-aCR-sly6e3IYUmITu5z2KlBmIyQ3GXNbww=w122-h92-k-no","7792248875746045111","ChIJNdCevCq9oRQRt6xHQBGhI2w"
"Mr Burger","Κολοκοτρώνη 5, Πάτρα 262 21","Κολοκοτρώνη 5","Πάτρα 262 21","Εστιατόριο φαστ φουντ",,"261 027 9900","261 027 9900, +30 261 027 9900","NO",1718,4.3,"https://search.google.com/local/reviews?placeid=ChIJf7tfv8JJXhMRs-rzt25SxxQ&q=mexican+restaurant&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=1497256036610075315",38.249418899999995,21.7364817,,,"Τρίτη: [1:00 μ.μ.-12:00 π.μ.], Τετάρτη: [1:00 μ.μ.-12:00 π.μ.], Πέμπτη: [1:00 μ.μ.-12:00 π.μ.], Παρασκευή: [1:00 μ.μ.-12:00 π.μ.], Σάββατο: [1:00 μ.μ.-12:00 π.μ.], Κυριακή: [1:00 μ.μ.-12:00 π.μ.], Δευτέρα: [1:00 μ.μ.-12:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipPjHdMqT8WX_QuEXRhqTinvAONPoZY4bb5Q-MdF=w122-h92-k-no","1497256036610075315","ChIJf7tfv8JJXhMRs-rzt25SxxQ"
"PALOS DE MOGUER","Αργάσι 291 00","Αργάσι 291 00","","Μεξικάνικο εστιατόριο, Μπαρ, Ελληνικό εστιατόριο, Εστιατόριο φαγητού σε πακέτο, Εστιατόριο μεσογειακής κουζίνας, Εστιατόριο, Εστιατόριο με θαλασσινά",,,"","YES",151,4.4,"https://search.google.com/local/reviews?placeid=ChIJjfXWsKykoRQRczUnmoNOV14&q=mexican+restaurant&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=6797988489672996211",37.7632343,20.9232846,"http://palosdemoguer.gr/","palosdemoguer.gr","Τρίτη: [5:00 μ.μ.-12:00 π.μ.], Τετάρτη: [5:00 μ.μ.-12:00 π.μ.], Πέμπτη: [5:00 μ.μ.-12:00 π.μ.], Παρασκευή: [5:00 μ.μ.-12:00 π.μ.], Σάββατο: [5:00 μ.μ.-12:00 π.μ.], Κυριακή: [5:00 μ.μ.-12:00 π.μ.], Δευτέρα: [5:00 μ.μ.-12:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipNL0XB7mzYT0v0aHrCFVvCkaKhOQ5aj1MohMp5E=w122-h92-k-no","6797988489672996211","ChIJjfXWsKykoRQRczUnmoNOV14"
"Mamacita - Taquería y Coctelería","Απόλλωνος 9Β, Αθήνα 105 57","Απόλλωνος 9Β","Αθήνα 105 57","Μεξικάνικο εστιατόριο, Κοκτέιλ μπαρ, Λατινοαμερικανικό εστιατόριο, Εστιατόριο, Εστιατόριο Tex-Mex",,"21 0321 0240","21 0321 0240, +30 21 0321 0240","YES",2528,4.3,"https://search.google.com/local/reviews?placeid=ChIJM6Zxxsq9oRQRvkDNdjA0WVU&q=mexican+restaurant&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=6150004148907360446",37.9746972,23.7319106,"https://mamacita.com.gr/","mamacita.com.gr","Τρίτη: [11:30 π.μ.-12:00 π.μ.], Τετάρτη: [11:30 π.μ.-12:00 π.μ.], Πέμπτη: [11:30 π.μ.-12:00 π.μ.], Παρασκευή: [11:30 π.μ.-12:30 π.μ.], Σάββατο: [11:30 π.μ.-12:30 π.μ.], Κυριακή: [11:30 π.μ.-12:00 π.μ.], Δευτέρα: [11:30 π.μ.-12:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipP5_mCjBv4HL47Oq7VElnr66Pm7AMzLN0pfZmRS=w122-h92-k-no","6150004148907360446","ChIJM6Zxxsq9oRQRvkDNdjA0WVU"
