"Name","Fulladdress","Street","Municipality","Categories","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Place Id"
"ΓΛΥΚΟΤΕΧΝΙΕΣ","Νόρμαν 50, Πάτρα 262 23","Νόρμαν 50","Πάτρα 262 23","Κατάστημα ζαχαρωτών",,"261 043 7003","261 043 7003, +30 261 043 7003","YES",174,4.6,"https://search.google.com/local/reviews?placeid=ChIJB8wDLupJXhMRZ4iz0JMUvcw&q=%CE%B3%CE%BB%CF%85%CE%BA%CE%AC&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=14752970579429787751",38.2531755,21.740009099999998,,,"Τρίτη: [8:00 π.μ.-11:00 μ.μ.], Τετάρτη: [8:00 π.μ.-11:00 μ.μ.], Πέμπτη: [8:00 π.μ.-11:00 μ.μ.], Παρασκευή: [8:00 π.μ.-11:00 μ.μ.], Σάββατο: [8:00 π.μ.-11:00 μ.μ.], Κυριακή: [8:00 π.μ.-11:00 μ.μ.], Δευτέρα: [8:00 π.μ.-11:00 μ.μ.]","https://lh5.googleusercontent.com/p/AF1QipMkQHB2LhBX063Jscxarin_xmB1VvaAx2-PEQhM=w204-h92-k-no","14752970579429787751","ChIJB8wDLupJXhMRZ4iz0JMUvcw"
"LIBERIS ψωμί γλυκό χονδρική πώληση","Αλ. Παπαναστασίου 16, Πάτρα 263 33","Αλ. Παπαναστασίου 16","Πάτρα 263 33","Αρτοποιείο - Ζαχαροπλαστείο",,"2693 024772","2693 024772, +30 2693 024772","YES",1,5,"https://search.google.com/local/reviews?placeid=ChIJWcNflpg9XhMRuDzpB-4c3Wg&q=%CE%B3%CE%BB%CF%85%CE%BA%CE%AC&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=7556227558458080440",38.2302938,21.7281092,"https://web.facebook.com/liberiscafe/","facebook.com","Τρίτη: [2:15 π.μ.-1:00 μ.μ.], Τετάρτη: [2:15 π.μ.-1:00 μ.μ.], Πέμπτη: [2:15 π.μ.-1:00 μ.μ.], Παρασκευή: [2:15 π.μ.-1:00 μ.μ.], Σάββατο: [2:00 π.μ.-1:00 μ.μ.], Κυριακή: [Κλειστά], Δευτέρα: [2:15 π.μ.-1:00 μ.μ.]","https://lh5.googleusercontent.com/p/AF1QipPaUQhY1SsZrdUTrl8H_0RRZXKnX3GTe25wTzq6=w80-h142-k-no","7556227558458080440","ChIJWcNflpg9XhMRuDzpB-4c3Wg"
"Arxontoula Cakes","Μεσσάτιδος και, 6ου Συντάγματος 19, Πάτρα 263 31","Μεσσάτιδος και","6ου Συντάγματος 19","Ζαχαροπλαστείο",,"261 301 9299","261 301 9299, +30 261 301 9299","YES",72,4.8,"https://search.google.com/local/reviews?placeid=ChIJb7YJRMNJXhMRl4OY1W8Kd14&q=%CE%B3%CE%BB%CF%85%CE%BA%CE%AC&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=6806920837234983831",38.24041,21.746409699999997,"http://www.arxontoula-cakes.gr/","arxontoula-cakes.gr","Τρίτη: [9:00 π.μ.-9:00 μ.μ.], Τετάρτη: [9:00 π.μ.-9:00 μ.μ.], Πέμπτη: [9:00 π.μ.-9:00 μ.μ.], Παρασκευή: [9:00 π.μ.-9:00 μ.μ.], Σάββατο: [9:00 π.μ.-6:00 μ.μ.], Κυριακή: [Κλειστά], Δευτέρα: [9:00 π.μ.-9:00 μ.μ.]","https://lh5.googleusercontent.com/p/AF1QipMww7QXPohB6pj_2UU4ZDuxAV-K2v-aclnZB09B=w80-h106-k-no","6806920837234983831","ChIJb7YJRMNJXhMRl4OY1W8Kd14"
"Sweet day","Ερενστρώλε 7, Πάτρα 262 24","Ερενστρώλε 7","Πάτρα 262 24","Πατισερί, Καφετέρια, Ζαχαροπλαστείο",,"261 027 3757","261 027 3757, +30 261 027 3757","YES",66,4.7,"https://search.google.com/local/reviews?placeid=ChIJx5DWNdxJXhMR9inGfTtjeCo&q=%CE%B3%CE%BB%CF%85%CE%BA%CE%AC&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=3060305053962611190",38.2408238,21.7365226,"https://sweet-day-patisserie.business.site/","business.site","Τρίτη: [8:00 π.μ.-11:30 μ.μ.], Τετάρτη: [8:00 π.μ.-11:30 μ.μ.], Πέμπτη: [8:00 π.μ.-11:30 μ.μ.], Παρασκευή: [8:00 π.μ.-11:30 μ.μ.], Σάββατο: [8:00 π.μ.-11:30 μ.μ.], Κυριακή: [12:00-11:30 μ.μ.], Δευτέρα: [8:00 π.μ.-11:30 μ.μ.]","https://lh5.googleusercontent.com/p/AF1QipMQvcRmEu1iRhFhqMRa_uEHqh9tKcY3ufCX_nua=w138-h92-k-no","3060305053962611190","ChIJx5DWNdxJXhMR9inGfTtjeCo"
"El gato negro patra","Πατρέως 63, Πάτρα 262 21","Πατρέως 63","Πάτρα 262 21","Ζαχαροπλαστείο",,"261 302 5457","261 302 5457, +30 261 302 5457","YES",38,4.8,"https://search.google.com/local/reviews?placeid=ChIJ5eiB__dJXhMRd4M9xSwUPy4&q=%CE%B3%CE%BB%CF%85%CE%BA%CE%AC&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=3332404431797715831",38.2449224,21.7351057,,,"Τρίτη: [10:00 π.μ.-9:00 μ.μ.], Τετάρτη: [10:00 π.μ.-9:00 μ.μ.], Πέμπτη: [10:00 π.μ.-9:00 μ.μ.], Παρασκευή: [10:00 π.μ.-9:00 μ.μ.], Σάββατο: [10:00 π.μ.-9:00 μ.μ.], Κυριακή: [10:00 π.μ.-9:00 μ.μ.], Δευτέρα: [Κλειστά]","https://lh5.googleusercontent.com/p/AF1QipPuzejUCYHnnfmqdnDyjsqXScgltFNsm2A-Iuv-=w80-h100-k-no","3332404431797715831","ChIJ5eiB__dJXhMRd4M9xSwUPy4"
"Sweet Forest","Πλ. Γεωρ. Α 29, Πάτρα 262 21","Πλ. Γεωρ. Α 29","Πάτρα 262 21","Αρτοποιείο - Ζαχαροπλαστείο",,"261 027 1020","261 027 1020, +30 261 027 1020","NO",27,4.5,"https://search.google.com/local/reviews?placeid=ChIJ3xHA9jxJXhMRTnEarpSRa2Q&q=%CE%B3%CE%BB%CF%85%CE%BA%CE%AC&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=7236037294062989646",38.2458445,21.7359172,,,"","https://lh5.googleusercontent.com/p/AF1QipMkZjl5YbRFrY8rjSs3hyHgair2nPXwopR1p9zb=w80-h106-k-no","7236037294062989646","ChIJ3xHA9jxJXhMRTnEarpSRa2Q"
"ΛΟΤΣΑΡΗ, ΑΦΟΙ, Ο.Ε.","Μαιζώνος 124, Πάτρα 262 22","Μαιζώνος 124","Πάτρα 262 22","Πατισερί, Παγωτά",,"261 032 3230","261 032 3230, +30 261 032 3230","YES",595,4.6,"https://search.google.com/local/reviews?placeid=ChIJkyMAAtxJXhMReRGaeAMIras&q=%CE%B3%CE%BB%CF%85%CE%BA%CE%AC&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=12370552562457907577",38.244307299999996,21.7318519,"https://lotsaris.gr/","lotsaris.gr","Τρίτη: [7:30 π.μ.-11:00 μ.μ.], Τετάρτη: [7:30 π.μ.-11:00 μ.μ.], Πέμπτη: [7:30 π.μ.-11:00 μ.μ.], Παρασκευή: [7:30 π.μ.-11:00 μ.μ.], Σάββατο: [7:30 π.μ.-11:00 μ.μ.], Κυριακή: [7:30 π.μ.-11:00 μ.μ.], Δευτέρα: [7:30 π.μ.-11:00 μ.μ.]","https://lh5.googleusercontent.com/p/AF1QipNFWMyzolbvR0rIHtfAc_cwHxiWEO4fVVarSRfw=w163-h92-k-no","12370552562457907577","ChIJkyMAAtxJXhMReRGaeAMIras"
"Λοτσάρης","Γεροκωστοπούλου 23, Πάτρα 262 21","Γεροκωστοπούλου 23","Πάτρα 262 21","Πατισερί",,"261 027 2555","261 027 2555, +30 261 027 2555","YES",420,4.5,"https://search.google.com/local/reviews?placeid=ChIJC5Hko91JXhMRf_Ch33I61UU&q=%CE%B3%CE%BB%CF%85%CE%BA%CE%AC&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=5031992423709012095",38.245706899999995,21.7358577,"http://www.lotsaris.gr/","lotsaris.gr","Τρίτη: [7:00 π.μ.-9:00 μ.μ.], Τετάρτη: [7:00 π.μ.-9:00 μ.μ.], Πέμπτη: [7:00 π.μ.-9:00 μ.μ.], Παρασκευή: [7:00 π.μ.-9:00 μ.μ.], Σάββατο: [7:00 π.μ.-9:00 μ.μ.], Κυριακή: [7:00 π.μ.-9:00 μ.μ.], Δευτέρα: [7:00 π.μ.-9:00 μ.μ.]","https://lh5.googleusercontent.com/p/AF1QipMnvUuXyltsOsGqNe0PrrMDeUwBv-N3ZISj2Xkq=w80-h106-k-no","5031992423709012095","ChIJC5Hko91JXhMRf_Ch33I61UU"
"Caravel","Πλατεία Βασιλέως Γεωργίου Α΄ 11, Πάτρα 262 21","Πλατεία Βασιλέως Γεωργίου Α΄ 11","Πάτρα 262 21","Ζαχαροπλαστείο, Παγωτά",,"261 022 4224","261 022 4224, +30 261 022 4224","YES",837,4.3,"https://search.google.com/local/reviews?placeid=ChIJ7ZdzA91JXhMRx-1OoSTNRlI&q=%CE%B3%CE%BB%CF%85%CE%BA%CE%AC&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=5928651516688657863",38.246859799999996,21.7350383,"http://caravels.gr/","caravels.gr","Τρίτη: [7:00 π.μ.-3:00 π.μ.], Τετάρτη: [7:00 π.μ.-3:00 π.μ.], Πέμπτη: [7:00 π.μ.-3:00 π.μ.], Παρασκευή: [7:00 π.μ.-3:00 π.μ.], Σάββατο: [7:00 π.μ.-3:00 π.μ.], Κυριακή: [7:00 π.μ.-3:00 π.μ.], Δευτέρα: [7:00 π.μ.-3:00 π.μ.]","https://lh5.googleusercontent.com/p/AF1QipOOD6aX6vqWZYVslXiuPDbADngrKW8yiV2S7_jD=w133-h92-k-no","5928651516688657863","ChIJ7ZdzA91JXhMRx-1OoSTNRlI"
"Zacherino","Νοταρά 42, Πάτρα 264 42","Νοταρά 42","Πάτρα 264 42","Ζαχαροπλαστείο, Παγωτά",,"261 042 7979","261 042 7979, +30 261 042 7979","YES",224,4.4,"https://search.google.com/local/reviews?placeid=ChIJwavW8JBJXhMRj9HvUUVbQzU&q=%CE%B3%CE%BB%CF%85%CE%BA%CE%AC&authuser=0&hl=el&gl=GR","https://www.google.com/maps?cid=3838011660735336847",38.264797099999996,21.746136099999998,,,"Τρίτη: [9:00 π.μ.-11:00 μ.μ.], Τετάρτη: [9:00 π.μ.-11:00 μ.μ.], Πέμπτη: [9:00 π.μ.-11:00 μ.μ.], Παρασκευή: [9:00 π.μ.-11:00 μ.μ.], Σάββατο: [9:00 π.μ.-11:00 μ.μ.], Κυριακή: [9:00 π.μ.-11:00 μ.μ.], Δευτέρα: [9:00 π.μ.-11:00 μ.μ.]","https://lh5.googleusercontent.com/p/AF1QipM86b2j614441yvSflrDPzwcRZgaNTDz3FHHK3d=w80-h142-k-no","3838011660735336847","ChIJwavW8JBJXhMRj9HvUUVbQzU"
